"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hand Gesture Recognition Using CNN & Publication of World's Largest ASL Database","A. Kannoth; C. Yang; M. A. Guanipa Larice","Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada; Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada; Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada","2021 IEEE Symposium on Computers and Communications (ISCC)","15 Dec 2021","2021","","","1","6","Sign language is used throughout the world by the hearing impaired to communicate. Recent advancements in Computer Vision and Deep Learning has given rise to many machine learning based translators. In this research paper, a solution to recognize the English alphabet presented as static signs in the American Sign Language (ASL) is proposed. The classifications are achieved by a four layer CNN. The model is trained and tested on a dataset created for this paper. This dataset will be published as a contribution to the community and is currently the world's largest ASL database consisting of 624,000 images. Split into two sections, the database contains images in both the IR and RGB spectrum. Classifications on both sets of data achieve state-of-the-art results when compared to similar research. An accuracy of 99.89% and 99.91 % are achieved when classifying the IR and RGB datasets respectively.","2642-7389","978-1-6654-2744-9","10.1109/ISCC53001.2021.9631255","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9631255","American Sign Language;Convolutional Neural Networks;Deep Learning;Artificial Intelligence","Training;Deep learning;Computer vision;Databases;Computational modeling;Gesture recognition;Auditory system","","2","","20","IEEE","15 Dec 2021","","","IEEE","IEEE Conferences"
"Real Time Sign Language Recognition Framework For Two Way Communication","Y. Tewari; P. Soni; S. Singh; M. S. Turlapati; A. Bhuva","Dept. of Computer Engineering, NMIMS, MPSTME, Mumbai, India; Dept. of Computer Engineering, NMIMS, MPSTME, Mumbai, India; Dept. of Computer Engineering, NMIMS, MPSTME, Mumbai, India; Dept. of Computer Engineering, NMIMS, MPSTME, Mumbai, India; Dept. of Computer Engineering, NMIMS, MPSTME, Mumbai, India","2021 International Conference on Communication information and Computing Technology (ICCICT)","12 Aug 2021","2021","","","1","6","The need to express oneself clearly and freely is a fundamental desire and must be available to all regardless of any handicap they face. Often, people that endure hearing and speech impairments use sign language as their only way of communication. This leaves a major communication barrier between people who speak sign language and those that communicate otherwise. Not a lot of people who communicate via vocal languages are inclined to learn sign language. The contribution of this paper is to develop a model which converts signs from the American Sign Language (ASL) into English characters using a CNN which segments the signs to their English language alphabets. The model was able to detect 26 alphabets and 3 additional characters with upto 99.78% accuracy. This paper also proposes inclusion of a speech to text module in order to facilitate seamless two way communication.","","978-1-6654-0430-3","10.1109/ICCICT50803.2021.9510094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9510094","Artificial Intelligence;Deep Learning;Neural Networks;Image Processing;Sign Language;Gesture Recognition","Computers;Assistive technology;Computational modeling;Face recognition;Gesture recognition;Auditory system;Real-time systems","","4","","25","IEEE","12 Aug 2021","","","IEEE","IEEE Conferences"
"Audio to Sign Language Translation using NLP","K. R. Prabha; B. Nataraj; B. Thiruthanikachalam; S. Surya NarayananS; M. Vishnu Prasath","Sri Ramakrishna Engineering College, Tamilnadu, India; Sri Ramakrishna Engineering College, Tamilnadu, India; Sri Ramakrishna Engineering College, Tamilnadu, India; Sri Ramakrishna Engineering College, Tamilnadu, India; Sri Ramakrishna Engineering College, Tamilnadu, India","2023 Third International Conference on Smart Technologies, Communication and Robotics (STCR)","22 Jan 2024","2023","1","","1","4","Communication is an essential aspect of human life, but deaf people often face challenges in communicating with hearing people due to the language barrier. According to the World Health Organization, 466 million individuals, or 5% of the global population, have severe auditory loss. In India, there are roughly 18 million people who are deaf. Sign language is the primary way of communicating information for the deaf, but it requires significant time and effort to learn. To bridge this gap, we propose an Audio to Sign Language Translation solution that converts live voice or audio recordings through text forms and shows pertinent Animated GIFs or Sign Language images. The application uses frontend Easy Gui, PyAudio for microphone input, Google Speech API, and Sphinx for speech recognition, NLP for text preprocessing, and a dictionary-based machine translation approach for sign language generation. The algorithm follows a logical sequence of steps and provides an accurate and reliable solution to facilitate communication between deaf and hearing people. The purpose of this application is to give deaf individuals access to information and services in Indian sign language and to create a scalable project that can record the whole ISL vocabulary using both manual and non-manual signs. Overall, by enabling deaf people to communicate, the Audio to Sign Language Translation has the ability to significantly improve their quality of life to communicate easily and effectively with others.","","979-8-3503-7086-7","10.1109/STCR59085.2023.10397050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10397050","Sign Language;NLP;Audio;Communication","Bridges;Vocabulary;Sociology;Gesture recognition;Auditory system;Speech recognition;Assistive technologies","","","","5","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"Characterization of Synthetic Health Data Using Rule-Based Artificial Intelligence Models","M. Lenatti; A. Paglialonga; V. Orani; M. Ferretti; M. Mongelli","CNR-IEIIT, Torino, Italy; CNR-IEIIT, Torino, Italy; CNR-IEIIT, Torino, Italy; CNR-IEIIT, Torino, Italy; CNR-IEIIT, Torino, Italy","IEEE Journal of Biomedical and Health Informatics","7 Aug 2023","2023","27","8","3760","3769","The aim of this study is to apply and characterize eXplainable AI (XAI) to assess the quality of synthetic health data generated using a data augmentation algorithm. In this exploratory study, several synthetic datasets are generated using various configurations of a conditional Generative Adversarial Network (GAN) from a set of 156 observations related to adult hearing screening. A rule-based native XAI algorithm, the Logic Learning Machine, is used in combination with conventional utility metrics. The classification performance in different conditions is assessed: models trained and tested on synthetic data, models trained on synthetic data and tested on real data, and models trained on real data and tested on synthetic data. The rules extracted from real and synthetic data are then compared using a rule similarity metric. The results indicate that XAI may be used to assess the quality of synthetic data by (i) the analysis of classification performance and (ii) the analysis of the rules extracted on real and synthetic data (number, covering, structure, cut-off values, and similarity). These results suggest that XAI can be used in an original way to assess synthetic health data and extract knowledge about the mechanisms underlying the generated data.","2168-2208","","10.1109/JBHI.2023.3236722","Capita Foundation; Project WHISPER, Widespread Hearing Impairment Screening and PrEvention of Risk; 2020 Auditory Research; WHISPER dataset; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10016704","Data augmentation;eXplainable AI (XAI);hearing screening;rule similarity;Generative Adversarial Networks (GAN)","Synthetic data;Measurement;Auditory system;Generative adversarial networks;Data models;Biomedical measurement;Data mining","Humans;Adult;Artificial Intelligence;Algorithms;Benchmarking;Knowledge","3","","44","CCBY","13 Jan 2023","","","IEEE","IEEE Journals"
"An unsupervised noise classification smartphone app for hearing improvement devices","N. Alamdari; F. Saki; A. Sehgal; N. Kehtarnavaz","University of Texas at Dallas, Richardson, TX, USA; University of Texas at Dallas, Richardson, TX, USA; University of Texas at Dallas, Richardson, TX, USA; University of Texas at Dallas, Richardson, TX, USA","2017 IEEE Signal Processing in Medicine and Biology Symposium (SPMB)","15 Jan 2018","2017","","","1","5","This paper presents an app for running a previously developed unsupervised noise classifier in realtime on smartphone/tablet platforms. The steps taken to enable the development of this app are discussed. The app is utilized to carry out field testing of the unsupervised classification of actual encountered noise environments without any prior training and without specifying the number of noise classes or clusters. Two objective measures of cluster purity and normalized mutual information are considered to examine the performance of the app in the field with the user acting as the identifier of the ground truth classes. The results obtained indicate the effectiveness of this real-time smartphone app for carrying out the environmental noise classification in an unsupervised manner.","2473-716X","978-1-5386-4873-5","10.1109/SPMB.2017.8257031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257031","","Classification algorithms;Feature extraction;Clustering algorithms;Smart phones;Auditory system;Training;Mutual information","","3","","13","IEEE","15 Jan 2018","","","IEEE","IEEE Conferences"
"Audiogram Digitization Tool for Audiological Reports","F. Charih; J. R. Green","Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada","IEEE Access","25 Oct 2022","2022","10","","110761","110769","Multiple private and public insurers compensate workers whose hearing loss can be directly attributed to excessive exposure to noise in the workplace. The claim assessment process is typically lengthy and requires significant effort from human adjudicators who must interpret hand-recorded audiograms, often sent via fax or equivalent. In this work, we present a solution developed in partnership with the Workplace Safety Insurance Board of Ontario to streamline the adjudication process. We present a flexible and open-source audiogram digitization algorithm capable of automatically extracting the hearing thresholds from a scanned or faxed audiology report as a proof-of-concept. The algorithm extracts most thresholds within 5 dB accuracy, allowing to substantially lessen the time required to convert an audiogram into digital format in a semi-supervised fashion, and is a first step towards the automation of the adjudication process. The source code for the digitization algorithm and a desktop-based implementation of our NIHL annotation portal is publicly available on GitHub https://github.com/GreenCUBIC/AudiogramDigitization.","2169-3536","","10.1109/ACCESS.2022.3215972","Workplace Safety Insurance Board of Ontario; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9925220","Machine vision;pattern recognition;deep learning;audiology","Auditory system;Symbols;Employment;Insurance;Ears;Transforms;Transfer learning;Machine vision;Pattern recognition;Deep learning","","1","","17","CCBY","19 Oct 2022","","","IEEE","IEEE Journals"
"Enabling Two-Way Communication of Deaf Using Saudi Sign Language","M. Faisal; M. Alsulaiman; M. Mekhtiche; B. M. Abdelkader; M. Algabri; T. B. S. Alrayes; G. Muhammad; H. Mathkour; W. Abdul; Y. Alohali; M. Al-Hammadi; H. Altaheri; T. Alfakih","Department of Computer Science and Engineering, Faculty of Engineering, Kuwait College of Science and Technology (KCST), Kuwait City, Kuwait; Computer Engineering Department, College of Computer and Information Science, King Saud University, Riyadh, Saudi Arabia; Computer Engineering Department, College of Computer and Information Science, King Saud University, Riyadh, Saudi Arabia; Computer Engineering Department, College of Computer and Information Science, King Saud University, Riyadh, Saudi Arabia; Computer Science and Information Systems Department, College of Applied Sciences, AlMaarefa University, Riyadh, Saudi Arabia; Department of Special Education, College of Education, King Saud University, Riyadh, Saudi Arabia; Computer Engineering Department, College of Computer and Information Science, King Saud University, Riyadh, Saudi Arabia; Computer Science Department, College of Computer and Information Science, King Saud University, Riyadh, Saudi Arabia; Computer Engineering Department, College of Computer and Information Science, King Saud University, Riyadh, Saudi Arabia; Computer Science Department, College of Computer and Information Science, King Saud University, Riyadh, Saudi Arabia; Department of Civil and Environmental Engineering, Faculty of Engineering, Norwegian University of Science and Technology, Høgskoleringen, Trondheim, Norway; Computer Engineering Department, College of Computer and Information Science, King Saud University, Riyadh, Saudi Arabia; Computer Science Department, College of Computer and Information Science, King Saud University, Riyadh, Saudi Arabia","IEEE Access","7 Dec 2023","2023","11","","135423","135434","Disabled people are facing many difficulties communicating with others and involving in society. Modern societies have dedicated significant efforts to promote the integration of disabled individuals into their societies and services. Currently, smart healthcare systems are used to facilitate disabled people. The objective of this paper is to enable two-way communication of deaf individuals with the rest of society, thus enabling their migration from marginal elements of society to mainstream contributing elements. In the proposed system, we developed three modules; the sign recognition module (SRM) that recognizes the signs of a deaf individual, the speech recognition and synthesis module (SRSM) that processes the speech of a non-deaf individual and converts it to text, and an Avatar module (AM) to generate and perform the corresponding sign of the non-deaf speech, which were integrated into the sign translation companion system called Saudi deaf companion system (SDCS) to facilitate the communication from the deaf to the hearing and vice versa. This paper also contributes to the literature by utilizing our self-developed database, the largest Saudi Sign Language (SSL) database—the King Saud University Saudi-SSL (KSU-SSL). The proposed SDCS system performs 293 Saudi signs that are recommended by the Saudi Association for Hearing Impairment (SAHI) from 10 domains (healthcare, common, alphabets, verbs, pronouns and adverbs, numbers, days, kings, family, and regions).","2169-3536","","10.1109/ACCESS.2023.3337514","Targeted Research Grant Program, National Transformation Program in King Abdulaziz City for Science and Technology, Saudi Arabia(grant numbers:5-18-03-001-0003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10330906","Avatar;Saudi Sig language;speech recognition system;sign language recognition","Assistive technologies;Gesture recognition;Speech recognition;Avatars;Auditory system;Medical services;STEM","","","","61","CCBYNCND","28 Nov 2023","","","IEEE","IEEE Journals"
"eNext: An IoT and AI Driven Solution to the Plugged-Ear Pandemic","M. N. Anjum","Ted Rogers School of Information Technology Management, Toronto Metropolitan University, Toronto, Canada","IEEE Internet of Things Journal","22 Jun 2023","2023","10","13","11940","11941","According to World Health Organization (WHO), more than a billion people are at risk due to the unsafe use of earphones. This article proposes the concept of a next-generation earphone called “eNext.” Unlike existing traditional earphones eNext comprises artificial intelligence (AI) and IoT-driven technologies in order to overcome the hearing health hazards, ensure pedestrian safety, and provide health monitoring facilities. Additionally, this article formulates an IoT-based technical layout of the proposed system model and provides possible AI-driven solutions to implement the proposed services.","2327-4662","","10.1109/JIOT.2023.3244800","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10044194","Artificial intelligence (AI);body sensor network;earphone;earplug;eHealth;eNext;headphone;IoT;smart device;wearable","Headphones;Electronic healthcare;Temperature measurement;Artificial intelligence;Auditory system;Transducers;Internet of Things","","","","13","IEEE","14 Feb 2023","","","IEEE","IEEE Journals"
"Predicting and Explaining Hearing Aid Usage Using Encoder-Decoder with Attention Mechanism and SHAP","Q. Su; E. Iliadou","Department of Computer Science City, University of London, London, UK; Department of Otorhinolaryngology Head and Neck Surgery, National and Kapodistrian University of Athens Medical School, Athens, Greece","2022 16th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS)","10 Apr 2023","2022","","","308","315","Understanding the factors that contribute to optimal hearing aid fitting and hearing aid user experiences is crucial in order to increase the satisfaction and quality of life of hearing loss patients, as well as reduce societal and financial burdens. This work proposes a novel framework that uses Encoder-decoder with attention mechanism (attn-ED) for predicting future hearing aid usage and SHAP to explain the factors contributing to this prediction. It has been demonstrated in experiments that attn-ED performs well at predicting future hearing aid usage, and that SHAP can be utilized to calculate the contribution of different factors affecting hearing aid usage. This framework aims to establish confidence that AI models can be utilized in the medical domain with the use of XAI methods. Moreover, the proposed framework can also assist clinicians in determining the nature of interventions.","","978-1-6654-6495-6","10.1109/SITIS57111.2022.00053","European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10090071","XAI;Hearing Loss;Encoder-Decoder;Attention Mechanism;Hearing Aid Usage","Employee welfare;Adaptation models;Fitting;Auditory system;Predictive models;Hearing aids;Stakeholders","","","","38","IEEE","10 Apr 2023","","","IEEE","IEEE Conferences"
"Sign Language Finger Alphabet Recognition from Gabor-PCA Representation of Hand Gestures","M. A. Amin; H. Yan","Department of Electrical Engineering, City University of Hong Kong, Hong Kong, China; Department of Electrical Engineering, City University of Hong Kong, Hong Kong, China","2007 International Conference on Machine Learning and Cybernetics","29 Oct 2007","2007","4","","2218","2223","During recent years a large number of computer aided applications have been developed to help the disabled people. This has improved the communication between the able and the hearing impaired community. An intelligent signed alphabet recognizer can work as an aiding agent to translate the signs to words (and also sentences) and vice versa. To achieve this goal few steps to be followed, among which the first complicated task is to recognize the sign-language alphabets from hand gesture images. In this paper, we propose a system that is able to recognize American Sign Language (ASL) alphabets from hand gesture with average 93.23% accuracy. The classification is performed with fuzzy-c-mean clustering on a lower dimensional data which is acquired from the Principle Component Analysis (PCA) of Gabor representation of hand gesture images. Out of the top 20 Principle Components (PCs) the best combination of PCs is determined by finding the best fuzzy cluster for the corresponding PCs of the training data. The best result is obtained from the combination of the fourth to seventh principle components.","2160-1348","978-1-4244-0972-3","10.1109/ICMLC.2007.4370514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4370514","Sign language;Finger alphabet recognition;Gabor wavelet;PCA;Clustering algorithm","Handicapped aids;Fingers;Personal communication networks;Computer applications;Application software;Auditory system;Intelligent agent;Image recognition;Image analysis;Performance analysis","","33","","21","IEEE","29 Oct 2007","","","IEEE","IEEE Conferences"
"Determining User Requirements for an Audiology Information System","J. A. Gahan; B. Kane","Health Service Executive, Naas, Leinster, IE; Information Systems, Karlstad University, Karlstad, Sweden","2018 IEEE 31st International Symposium on Computer-Based Medical Systems (CBMS)","23 Jul 2018","2018","","","268","273","This paper examines user requirements for a new audiology information system for use in audiology departments by audiology staff. There is a lack of literature on requirements for an audiology information system. This ethnographic study describes the current audiology service and the equipment used in the diagnosis and treatment of hearing loss. Eliciting user requirements from all the users of a clinical information system provides the best possible outcomes for all user groups: clinical, administration and hearing aid technicians. The study includes a review of audiology internal policies and a survey of all potential end users of a new audiology information system in the Health Service Executive (HSE) community service. The findings identify the six most important user requirements in a new audiology information system. These priority requirements include the storage of all Noah files, multiple patient search options, have all test results stored in the patient's electronic record, be capable of generating IT-based reports and store the audiogram in the patient's electronic record (EHR). Other findings include the desire for a paperless system and for the integration of all audiology equipment and existing IT databases, with up-to-date? information system involving automated processes.","2372-9198","978-1-5386-6060-7","10.1109/CBMS.2018.00054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417249","audiology;information system;user requirements","Databases;Information systems;Hearing aids;Artificial intelligence;Auditory system;Ear","","","","12","IEEE","23 Jul 2018","","","IEEE","IEEE Conferences"
"Moroccan sign language recognition based on machine learning","S. M. Abdelouahed; C. Meryem; Y. Ali; A. Abdellah","Computer science department, University Sidi Mohamed Ben Abdallah; Computer science department, University Sidi Mohamed Ben Abdallah; Computer science department, University Sidi Mohamed Ben Abdallah; Physics department, University Sidi Mohamed Ben abdellah","2022 International Conference on Intelligent Systems and Computer Vision (ISCV)","29 Jun 2022","2022","","","1","5","More than 5% of the world's population (466 million people) suffer from a disabling hearing loss: 4 million are children. People with hearing loss usually communicate through spoken language and can benefit from assistive devices such as cochlear implants. However, deaf people have profound hearing loss and use sign language to communicate with others, which involves little or no hearing. To facilitate communication between deaf people and normal people who do not know sign language, we have proposed in this paper a system that allows textual transcription of sign language. The developed system will be able, in a first step, to recognize the sign language alphabet using machine learning and image processing. Simulation results have shown the efficiency of the developed model.","2768-0754","978-1-6654-9558-5","10.1109/ISCV54655.2022.9806116","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9806116","Sign language;Machine learning;Deep learning;Image processing;Features extraction;image classification","Shape;Simulation;Sociology;Gesture recognition;Auditory system;Machine learning;Assistive technologies","","1","","21","IEEE","29 Jun 2022","","","IEEE","IEEE Conferences"
"Explainable Machine Learning Prediction for the Academic Performance of Deaf Scholars","N. R. Raji; R. M. S. Kumar; C. L. Biji","Department of Computer Applications, Noorul Islam Centre for Higher Education, Nagercoil, India; Department of Information Technology, Noorul Islam Centre for Higher Education, Nagercoil, India; Department of Analytics, School of Computer Science and Technology, VIT University, Tamil Nadu, Vellore, India","IEEE Access","16 Feb 2024","2024","12","","23595","23612","Deaf and Hard of Hearing (DHH) students encounter obstacles in higher education due to language and communication challenges. Although research aims to improve their academic performance, the potential of Machine Learning (ML) remains underutilized in DHH education. The opacity of ML models further complicates their adoption. This study aims to fill this gap by developing a novel ML-based system with eXplainable AI (XAI), specifically utilizing Local Interpretable Model-Agnostic Explainer (LIME) and Shapley Additive Explainer (SHAP). The objective is twofold: predicting at-risk DHH students and explaining risk factors. Merging ML and XAI, this approach could positively impact DHH students’ educational outcomes. A dataset of 454 records detailing DHH students is collected. To address dataset limitations, synthetic data and SMOTE are used. Students are categorized into three performance levels. The data is modeled with different ML models, transfer models, ensemble models, and combination models. Among the models, the stacked model with XGBoost, ExtraTrees, and Random Forest exhibited better performance with an accuracy of 92.99%. Results highlight the model’s significance, providing insights through XAI into crucial factors affecting academic performance, including communication mode, early intervention, schooling type, and family deafness history. LIME and SHAP values were found to be effective in deriving insights into DHH student performance prediction framework. Communication mode, notably, strongly influences at-risk students. The major contribution of this study is the development of a novel ML-based system and the XAI interpretations whose value lies in its social relevance, guiding stakeholders to enhance DHH scholars’ academic achievements.","2169-3536","","10.1109/ACCESS.2024.3363634","Centre of Excellence for Disability Studies (CEDS), Kerala, India(grant numbers:R21F3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423667","Artificial intelligence;deaf education;explainability;machine learning","Education;Predictive models;Machine learning;Auditory system;Explainable AI;Stakeholders;Gesture recognition;Artificial intelligence;Deafness","","","","38","CCBYNCND","6 Feb 2024","","","IEEE","IEEE Journals"
"Comparação de Sistemas de Reconhecimento de Voz para Inclusão de Surdos","A. B. Lugli; B. C. Candia; C. A. Ynoguti; J. A. Nascimento Leite; P. B. de Paiva; Y. M. Chiaradia Masselli","Engenharia de Controle e Automação Inatel, Santa Rita do Sapucai, Mg, Brasil; Engenharia de Controle e Automação Inatel, Santa Rita do Sapucai, Mg, Brasil; Engenharia de Controle e Automação Inatel, Santa Rita do Sapucai, Mg, Brasil; Engenharia de Controle e Automação Inatel, Santa Rita do Sapucai, Mg, Brasil; Engenharia de Controle e Automação Inatel, Santa Rita do Sapucai, Mg, Brasil; Engenharia de Controle e Automação Inatel, Santa Rita do Sapucai, Mg, Brasil","2023 15th IEEE International Conference on Industry Applications (INDUSCON)","2 Jan 2024","2023","","","583","584","For decades, the inclusion of deaf and hard of hearing people in education has been a recurring problem with no effective solution. Based on the growth in the field of artificial intelligence, this article presents a study comparing two voice recognition systems for the development of a class subtitling application for accessibility for deaf students. The tests performed were based on the minimum parameters for the best use of these subtitles in real time.","2572-1445","979-8-3503-1418-2","10.1109/INDUSCON58041.2023.10375068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10375068","API;Deaf;Speech Recognition","Industry applications;Education;Speech recognition;Auditory system;Real-time systems;Artificial intelligence","","","","0","IEEE","2 Jan 2024","","","IEEE","IEEE Conferences"
"A Real-Time Convolutional Neural Network Based Speech Enhancement for Hearing Impaired Listeners Using Smartphone","G. S. Bhat; N. Shankar; C. K. A. Reddy; I. M. S. Panahi","Department of Electrical and Computer Engineering, The University of Texas at Dallas, Richardson, USA; Department of Electrical and Computer Engineering, The University of Texas at Dallas, Richardson, USA; IC3-AI, Microsoft Corporation, Redmond, WA, USA; Department of Electrical and Computer Engineering, The University of Texas at Dallas, Richardson, USA","IEEE Access","24 Jun 2019","2019","7","","78421","78433","This paper presents a Speech Enhancement (SE) technique based on multi-objective learning convolutional neural network to improve the overall quality of speech perceived by Hearing Aid (HA) users. The proposed method is implemented on a smartphone as an application that performs real-time SE. This arrangement works as an assistive tool to HA. A multi-objective learning architecture including primary and secondary features uses a mapping-based convolutional neural network (CNN) model to remove noise from a noisy speech spectrum. The algorithm is computationally fast and has a low processing delay which enables it to operate seamlessly on a smartphone. The steps and the detailed analysis of real-time implementation are discussed. The proposed method is compared with existing conventional and neural network-based SE techniques through speech quality and intelligibility metrics in various noisy speech conditions. The key contribution of this paper includes the realization of CNN SE model on a smartphone processor that works seamlessly with HA. The experimental results demonstrate significant improvements over the state-of-the-art techniques and reflect the usability of the developed SE application in noisy environments.","2169-3536","","10.1109/ACCESS.2019.2922370","National Institute on Deafness and Other Communication Disorders(grant numbers:1R01DC015430-03); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8735823","Convolutional neural network (CNN);speech enhancement (SE);hearing aid (HA);smartphone;real-time implementation;log power spectra (LPS)","Noise measurement;Real-time systems;Speech enhancement;Auditory system;Computer architecture;Convolutional neural networks","","38","","47","OAPA","12 Jun 2019","","","IEEE","IEEE Journals"
"An Automatic Method to Develop Music With Music Segment and Long Short Term Memory for Tinnitus Music Therapy","J. Chen; F. Pan; P. Zhong; T. He; L. Qi; J. Lu; P. He; Y. Zheng","College of Electronics and Information Engineering, Sichuan University, Chengdu, China; College of Electronics and Information Engineering, Sichuan University, Chengdu, China; Otorhinolaryngology-Head and Neck Surgery Department, Hearing Center, West China School of Medicine/West China Hospital, Sichuan University, Chengdu, China; College of Electronics and Information Engineering, Sichuan University, Chengdu, China; College of Electronics and Information Engineering, Sichuan University, Chengdu, China; Otorhinolaryngology-Head and Neck Surgery Department, Hearing Center, West China School of Medicine/West China Hospital, Sichuan University, Chengdu, China; College of Electronics and Information Engineering, Sichuan University, Chengdu, China; Otorhinolaryngology-Head and Neck Surgery Department, Hearing Center, West China School of Medicine/West China Hospital, Sichuan University, Chengdu, China","IEEE Access","10 Aug 2020","2020","8","","141860","141871","Tinnitus is a perception of sound when no external sound is present. It has seriously affected patients' life. Music is an option to relieve tinnitus in clinic, as it can bring enjoyment to listeners. However, existing music used in tinnitus therapies has limited duration, it is usually repetitively played during the long-term treatment and may not be helpful for relaxation. Moreover, individualized preferences of patients are ignored in most cases. Both of them may hinder tinnitus relief. Although existing methods can synthesize specific music that has unlimited duration and is not repetitively played, the synthesized music has defects with pitch mutations and long pitch durations. Moreover, characteristics of these synthesized music have not been confirmed by tinnitus patients. Therefore, this study presents an automatic method to develop the specific music based on music segments from existing music and long short term memory (LSTM). Numerical results indicate that specific music developed in this study not only retains characteristics of original music, but also overcome the defects above. Besides, a total of 30 tinnitus patients and 10 tinnitus-free volunteers participated the auditory experiment. Auditory results are consistent with numerical results and also suggest that tinnitus patients can perceive feelings that are conducive to tinnitus relief after listening preferred music. Therefore, the developed music presents a possible complement to tinnitus treatment in clinic.","2169-3536","","10.1109/ACCESS.2020.3013339","Science and Technology Support Program of Sichuan Province, China(grant numbers:2013GZ1043); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9153752","LSTM;music segment;tinnitus;unlimited duration","Music;Medical treatment;Auditory system;Market research;Loss measurement;Ear;Multiple signal classification","","11","","47","CCBY","31 Jul 2020","","","IEEE","IEEE Journals"
"A two-stage sign language recognition method focusing on the semantic features of label text","X. Xu; J. Fu","School of Computer Science and Technology, Xi’an University of Posts & Telecommunications, Xi’an, China; School of Computer Science and Technology, Xi’an University of Posts & Telecommunications, Xi’an, China","2024 20th CSI International Symposium on Artificial Intelligence and Signal Processing (AISP)","25 Mar 2024","2024","","","1","5","The ability to recognize sign language is an indispensable technology that plays a crucial role in facilitating communication between individuals who are deaf or hard of hearing. It is of utmost importance to comprehensively understand the nonverbal expressions employed by the hearing impaired. In order to enhance the efficacy of sign language recognition technology, it is imperative to focus on language modeling and improve the utilization of linguistic elements. At present, much attention in sign language recognition techniques that integrate language modeling is directed toward the translation of GLOSS to text in research related to Sign Language Translation (SLT). Our paper, however, proposes a creative approach that involves the linguistic modeling of the corresponding text of sign language during the process of converting signs to GLOSS. Specifically, we have implemented a text correction module that uses a front-mounted sign language recognition module to make preliminary predictions. The corrected GLOSS sequence is then used to obtain the final recognition result with higher accuracy. Our framework was tested on the RWTHPHOENIX-Weather-2014-T dataset and CSL dataset to evaluate its effectiveness in recognizing sign language on a large scale. The experimental results demonstrate that the proposed method significantly enhances the accuracy of the sign language recognition model.","2640-5768","979-8-3503-8394-2","10.1109/AISP61396.2024.10475205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10475205","Continuous Sign Language Recognition;Machine Learning;Language Modeling;Image Processing;Time Series Modeling","Sign language;Adaptation models;Text recognition;Target recognition;Auditory system;Linguistics;Feature extraction","","","","21","IEEE","25 Mar 2024","","","IEEE","IEEE Conferences"
