PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37449725","Predicting Acoustic Hearing Preservation Following Cochlear Implant Surgery Using Machine Learning","Zeitler DM, Buchlak QD, Ramasundara S, Farrokhi F, Esmaili N.","Laryngoscope. 2024 Feb;134(2):926-936. doi: 10.1002/lary.30894. Epub 2023 Jul 14.","Zeitler DM","Laryngoscope","2024","2023/07/14","","","10.1002/lary.30894"
"35319518","Preoperative Visual Measures of Verbal Learning and Memory and their Relations to Speech Recognition After Cochlear Implantation","Ray C, Pisoni DB, Lu E, Kronenberger WG, Moberly AC.","Ear Hear. 2022 May/Jun;43(3):993-1002. doi: 10.1097/AUD.0000000000001155.","Ray C","Ear Hear","2022","2022/03/23","PMC9010345","NIHMS1743669","10.1097/AUD.0000000000001155"
"32186403","The Finnish simplified matrix sentence test for the assessment of speech intelligibility in the elderly","Willberg T, Kärtevä K, Zokoll M, Buschermöhle M, Sivonen V, Aarnisalo A, Löppönen H, Kollmeier B, Dietz A.","Int J Audiol. 2020 Oct;59(10):763-771. doi: 10.1080/14992027.2020.1741704. Epub 2020 Mar 18.","Willberg T","Int J Audiol","2020","2020/03/19","","","10.1080/14992027.2020.1741704"
"24351610","Do hearing loss and cognitive function modulate benefit from different binaural noise-reduction settings?","Neher T, Grimm G, Hohmann V, Kollmeier B.","Ear Hear. 2014 May-Jun;35(3):e52-62. doi: 10.1097/AUD.0000000000000003.","Neher T","Ear Hear","2014","2013/12/20","","","10.1097/AUD.0000000000000003"
"27431034","Classification of auditory brainstem responses through symbolic pattern discovery","Molina ME, Perez A, Valente JP.","Artif Intell Med. 2016 Jun;70:12-30. doi: 10.1016/j.artmed.2016.05.001. Epub 2016 May 24.","Molina ME","Artif Intell Med","2016","2016/07/20","","","10.1016/j.artmed.2016.05.001"
"7626282","Multiresolution analysis of event-related potentials by wavelet decomposition","Samar VJ, Swartz KP, Raghuveer MR.","Brain Cogn. 1995 Apr;27(3):398-438. doi: 10.1006/brcg.1995.1028.","Samar VJ","Brain Cogn","1995","1995/04/01","","","10.1006/brcg.1995.1028"
"32129659","Recent advances in hearing conservation programmes: A systematic review","Moroe NF, Khoza-Shangase K.","S Afr J Commun Disord. 2020 Mar 3;67(2):e1-e11. doi: 10.4102/sajcd.v67i2.675.","Moroe NF","S Afr J Commun Disord","2020","2020/03/05","PMC7136823","","10.4102/sajcd.v67i2.675"
"27913315","Speech enhancement based on neural networks improves speech intelligibility in noise for cochlear implant users","Goehring T, Bolner F, Monaghan JJ, van Dijk B, Zarowski A, Bleeck S.","Hear Res. 2017 Feb;344:183-194. doi: 10.1016/j.heares.2016.11.012. Epub 2016 Nov 30.","Goehring T","Hear Res","2017","2016/12/04","PMC5256482","","10.1016/j.heares.2016.11.012"
"29049620","Diagnosing and Screening in a Minority Language: A Validation Study","Zokoll MA, Wagener KC, Kollmeier B.","Am J Audiol. 2017 Oct 12;26(3S):369-372. doi: 10.1044/2017_AJA-16-0138.","Zokoll MA","Am J Audiol","2017","2017/10/20","","","10.1044/2017_AJA-16-0138"
"37956654","The Relative Contribution of Cochlear Synaptopathy and Reduced Inhibition to Age-Related Hearing Impairment for People With Normal Audiograms","Gómez-Álvarez M, Johannesen PT, Coelho-de-Sousa SL, Klump GM, Lopez-Poveda EA.","Trends Hear. 2023 Jan-Dec;27:23312165231213191. doi: 10.1177/23312165231213191.","Gómez-Álvarez M","Trends Hear","2023","2023/11/13","PMC10644751","","10.1177/23312165231213191"
"31106271","Speaker-independent auditory attention decoding without access to clean speech sources","Han C, O'Sullivan J, Luo Y, Herrero J, Mehta AD, Mesgarani N.","Sci Adv. 2019 May 15;5(5):eaav6134. doi: 10.1126/sciadv.aav6134. eCollection 2019 May.","Han C","Sci Adv","2019","2019/05/21","PMC6520028","","10.1126/sciadv.aav6134"
"36298382","Automatic User Preferences Selection of Smart Hearing Aid Using BioAid","Siddiqui HUR, Saleem AA, Raza MA, Zafar K, Russo R, Dudley S.","Sensors (Basel). 2022 Oct 20;22(20):8031. doi: 10.3390/s22208031.","Siddiqui HUR","Sensors (Basel)","2022","2022/10/27","PMC9610183","","10.3390/s22208031"
"30461444","A New Speech, Spatial, and Qualities of Hearing Scale Short-Form: Factor, Cluster, and Comparative Analyses","Moulin A, Vergne J, Gallego S, Micheyl C.","Ear Hear. 2019 Jul/Aug;40(4):938-950. doi: 10.1097/AUD.0000000000000675.","Moulin A","Ear Hear","2019","2018/11/22","","","10.1097/AUD.0000000000000675"
"30142102","Machine Learning Models for the Hearing Impairment Prediction in Workers Exposed to Complex Industrial Noise: A Pilot Study","Zhao Y, Li J, Zhang M, Lu Y, Xie H, Tian Y, Qiu W.","Ear Hear. 2019 May/Jun;40(3):690-699. doi: 10.1097/AUD.0000000000000649.","Zhao Y","Ear Hear","2019","2018/08/25","PMC6493679","","10.1097/AUD.0000000000000649"
"35894668","Summating Potential as Marker of Intracochlear Position in Bipolar Electrocochleography","Baumhoff P, Rahbar Nikoukar L, de Andrade JSC, Lenarz T, Kral A.","Ear Hear. 2023 Jan-Feb 01;44(1):118-134. doi: 10.1097/AUD.0000000000001259. Epub 2022 Jul 27.","Baumhoff P","Ear Hear","2023","2022/07/27","","","10.1097/AUD.0000000000001259"
"37792897","Exploring Factors That Contribute to the Success of Rehabilitation With Hearing Aids","Lansbergen SE, Versfeld N, Dreschler WA.","Ear Hear. 2023 Nov-Dec 01;44(6):1514-1525. doi: 10.1097/AUD.0000000000001393. Epub 2023 Jun 9.","Lansbergen SE","Ear Hear","2023","2023/10/04","PMC10583950","","10.1097/AUD.0000000000001393"
"33238252","Towards effective assessment of normal hearing function from ABR using a time-variant sweep-tone stimulus approach","Jiang Y, Samuel OW, Zhang H, Chen S, Li G.","Physiol Meas. 2021 May 13;42(4). doi: 10.1088/1361-6579/abcdf2.","Jiang Y","Physiol Meas","2021","2020/11/25","","","10.1088/1361-6579/abcdf2"
"30440419","Improving the performance of hearing aids in noisy environments based on deep learning technology","Lai YH, Zheng WZ, Tang ST, Fang SH, Liao WH, Tsao Y.","Annu Int Conf IEEE Eng Med Biol Soc. 2018 Jul;2018:404-408. doi: 10.1109/EMBC.2018.8512277.","Lai YH","Annu Int Conf IEEE Eng Med Biol Soc","2018","2018/11/17","","","10.1109/EMBC.2018.8512277"
"31590612","Speech understanding and listening effort in cochlear implant users - microphone beamformers lead to significant improvements in noisy environments","Büchner A, Schwebs M, Lenarz T.","Cochlear Implants Int. 2020 Jan;21(1):1-8. doi: 10.1080/14670100.2019.1661567. Epub 2019 Oct 7.","Büchner A","Cochlear Implants Int","2020","2019/10/09","","","10.1080/14670100.2019.1661567"
"34470332","A deep neural-network classifier for photograph-based estimation of hearing protection attenuation and fit","Smalt CJ, Ciccarelli GA, Rodriguez AR, Murphy WJ.","J Acoust Soc Am. 2021 Aug;150(2):1067. doi: 10.1121/10.0005820.","Smalt CJ","J Acoust Soc Am","2021","2021/09/02","PMC8689361","NIHMS1764485","10.1121/10.0005820"
"18453884","Lexical tone recognition with an artificial neural network","Zhou N, Zhang W, Lee CY, Xu L.","Ear Hear. 2008 Jun;29(3):326-35. doi: 10.1097/AUD.0b013e3181662c42.","Zhou N","Ear Hear","2008","2008/05/06","PMC2562432","NIHMS68273","10.1097/AUD.0b013e3181662c42"
"35712297","Convolutional Neural Network Based Real Time Arabic Speech Recognition to Arabic Braille for Hearing and Visually Impaired","Bhatia S, Devi A, Alsuwailem RI, Mashat A.","Front Public Health. 2022 May 27;10:898355. doi: 10.3389/fpubh.2022.898355. eCollection 2022.","Bhatia S","Front Public Health","2022","2022/06/17","PMC9197259","","10.3389/fpubh.2022.898355"
"27564441","Directional Processing and Noise Reduction in Hearing Aids: Individual and Situational Influences on Preferred Setting","Neher T, Wagener KC, Fischer RL.","J Am Acad Audiol. 2016 Sep;27(8):628-46. doi: 10.3766/jaaa.15062.","Neher T","J Am Acad Audiol","2016","2016/08/27","","","10.3766/jaaa.15062"
"33787404","Individual Hearing Aid Benefit in Real Life Evaluated Using Ecological Momentary Assessment","von Gablenz P, Kowalk U, Bitzer J, Meis M, Holube I.","Trends Hear. 2021 Jan-Dec;25:2331216521990288. doi: 10.1177/2331216521990288.","von Gablenz P","Trends Hear","2021","2021/03/31","PMC8020740","","10.1177/2331216521990288"
"33688794","Assessment of hearing screening programmes across 47 countries or regions I: provision of newborn hearing screening","Bussé AML, Mackey AR, Hoeve HLJ, Goedegebure A, Carr G, Uhlén IM, Simonsz HJ; EUS€REEN Foundation.","Int J Audiol. 2021 Nov;60(11):821-830. doi: 10.1080/14992027.2021.1886350. Epub 2021 Mar 10.","Bussé AML","Int J Audiol","2021","2021/03/10","","","10.1080/14992027.2021.1886350"
"27121373","The development and evaluation of the Finnish digit triplet test","Willberg T, Buschermöhle M, Sivonen V, Aarnisalo AA, Löppönen H, Kollmeier B, Dietz A.","Acta Otolaryngol. 2016 Oct;136(10):1035-40. doi: 10.1080/00016489.2016.1175662. Epub 2016 Apr 28.","Willberg T","Acta Otolaryngol","2016","2016/04/29","","","10.1080/00016489.2016.1175662"
"33940921","Analysis of correlation between window duration for kurtosis computation and accuracy of noise-induced hearing loss prediction","Tian Y, Ding W, Zhang M, Zhou T, Li J, Qiu W.","J Acoust Soc Am. 2021 Apr;149(4):2367. doi: 10.1121/10.0003954.","Tian Y","J Acoust Soc Am","2021","2021/05/04","","","10.1121/10.0003954"
"32317648","Data-driven segmentation of audiometric phenotypes across a large clinical cohort","Parthasarathy A, Romero Pinto S, Lewis RM, Goedicke W, Polley DB.","Sci Rep. 2020 Apr 21;10(1):6704. doi: 10.1038/s41598-020-63515-5.","Parthasarathy A","Sci Rep","2020","2020/04/23","PMC7174357","","10.1038/s41598-020-63515-5"
"35877954","Evaluation of Machine Learning Algorithms and Explainability Techniques to Detect Hearing Loss From a Speech-in-Noise Screening Test","Lenatti M, Moreno-Sánchez PA, Polo EM, Mollura M, Barbieri R, Paglialonga A.","Am J Audiol. 2022 Sep 21;31(3S):961-979. doi: 10.1044/2022_AJA-21-00194. Epub 2022 Jul 25.","Lenatti M","Am J Audiol","2022","2022/07/25","","","10.1044/2022_AJA-21-00194"
"35076330","Evaluation of a semi-supervised self-adjustment fine-tuning procedure for hearing aids","Gößwein JA, Rennies J, Huber R, Bruns T, Hildebrandt A, Kollmeier B.","Int J Audiol. 2023 Feb;62(2):159-171. doi: 10.1080/14992027.2022.2028022. Epub 2022 Jan 25.","Gößwein JA","Int J Audiol","2023","2022/01/25","","","10.1080/14992027.2022.2028022"
"27698257","Subjective Listening Effort and Electrodermal Activity in Listening Situations with Reverberation and Noise","Holube I, Haeder K, Imbery C, Weber R.","Trends Hear. 2016 Oct 3;20:2331216516667734. doi: 10.1177/2331216516667734.","Holube I","Trends Hear","2016","2016/10/05","PMC5051672","","10.1177/2331216516667734"
"32959697","Maximising the ability of stimulus-frequency otoacoustic emissions to predict hearing status and thresholds using machine-learning models","Liu Y, Xu R, Gong Q.","Int J Audiol. 2021 Apr;60(4):263-273. doi: 10.1080/14992027.2020.1821252. Epub 2020 Sep 22.","Liu Y","Int J Audiol","2021","2020/09/22","","","10.1080/14992027.2020.1821252"
"32003266","Transient-evoked otoacoustic emission signals predicting outcomes of acute sensorineural hearing loss in patients with Ménière's disease","Liu YW, Kao SL, Wu HT, Liu TC, Fang TY, Wang PC.","Acta Otolaryngol. 2020 Mar;140(3):230-235. doi: 10.1080/00016489.2019.1704865. Epub 2020 Jan 31.","Liu YW","Acta Otolaryngol","2020","2020/02/01","","","10.1080/00016489.2019.1704865"
"32752751","Efficient two-microphone speech enhancement using basic recurrent neural network cell for hearing and hearing aids","Shankar N, Bhat GS, Panahi IMS.","J Acoust Soc Am. 2020 Jul;148(1):389. doi: 10.1121/10.0001600.","Shankar N","J Acoust Soc Am","2020","2020/08/06","PMC7928060","","10.1121/10.0001600"
"35134072","Sound source localization patterns and bilateral cochlear implants: Age at onset of deafness effects","Anderson SR, Jocewicz R, Kan A, Zhu J, Tzeng S, Litovsky RY.","PLoS One. 2022 Feb 8;17(2):e0263516. doi: 10.1371/journal.pone.0263516. eCollection 2022.","Anderson SR","PLoS One","2022","2022/02/08","PMC8824335","","10.1371/journal.pone.0263516"
"27873543","Hearing aid fitting and fine-tuning based on estimated individual traits","Völker C, Ernst SMA, Kollmeier B.","Int J Audiol. 2018 Jun;57(sup3):S139-S145. doi: 10.1080/14992027.2016.1257163. Epub 2016 Nov 22.","Völker C","Int J Audiol","2018","2016/11/23","","","10.1080/14992027.2016.1257163"
"29782444","Prevalence of Hearing Impairment in Mahabubnagar District, Telangana State, India","Bright T, Mactaggart I, Kuper H, Murthy GV, Polack S.","Ear Hear. 2019 Jan/Feb;40(1):204-212. doi: 10.1097/AUD.0000000000000599.","Bright T","Ear Hear","2019","2018/05/22","","","10.1097/AUD.0000000000000599"
"38518394","The crucial role of diverse animal models to investigate cochlear aging and hearing loss","Castaño-González K, Köppl C, Pyott SJ.","Hear Res. 2024 Apr;445:108989. doi: 10.1016/j.heares.2024.108989. Epub 2024 Mar 11.","Castaño-González K","Hear Res","2024","2024/03/22","","","10.1016/j.heares.2024.108989"
"28355947","Evaluation of combined dynamic compression and single channel noise reduction for hearing aid applications","Kortlang S, Chen Z, Gerkmann T, Kollmeier B, Hohmann V, Ewert SD.","Int J Audiol. 2018 Jun;57(sup3):S43-S54. doi: 10.1080/14992027.2017.1300695. Epub 2017 Mar 30.","Kortlang S","Int J Audiol","2018","2017/03/31","","","10.1080/14992027.2017.1300695"
"37990395","Deep Learning Models for Predicting Hearing Thresholds Based on Swept-Tone Stimulus-Frequency Otoacoustic Emissions","Liu Y, Gong Q.","Ear Hear. 2024 Mar-Apr 01;45(2):465-475. doi: 10.1097/AUD.0000000000001443. Epub 2023 Nov 22.","Liu Y","Ear Hear","2024","2023/11/22","","","10.1097/AUD.0000000000001443"
"27212057","On the relationship between auditory cognition and speech intelligibility in cochlear implant users: An ERP study","Finke M, Büchner A, Ruigendijk E, Meyer M, Sandmann P.","Neuropsychologia. 2016 Jul 1;87:169-181. doi: 10.1016/j.neuropsychologia.2016.05.019. Epub 2016 May 19.","Finke M","Neuropsychologia","2016","2016/05/24","","","10.1016/j.neuropsychologia.2016.05.019"
"29133013","The Optimal inter-implant interval in pediatric sequential bilateral implantation","Illg A, Sandner C, Büchner A, Lenarz T, Kral A, Lesinski-Schiedat A.","Hear Res. 2019 Feb;372:80-87. doi: 10.1016/j.heares.2017.10.010. Epub 2017 Oct 31.","Illg A","Hear Res","2019","2017/11/15","","","10.1016/j.heares.2017.10.010"
"31084569","Recovery From Sudden Sensorineural Hearing Loss May Be Linked to Chronic Stress Levels and Steroid Treatment Resistance","Ajduk J, Košec A, Kelava I, Ries M, Gregurić T, Kalogjera L.","Am J Audiol. 2019 Jun 10;28(2):315-321. doi: 10.1044/2019_AJA-18-0127. Epub 2019 May 14.","Ajduk J","Am J Audiol","2019","2019/05/16","","","10.1044/2019_AJA-18-0127"
"34120557","Hearing aid acquisition and ownership: what can we learn from online consumer reviews?","Bennett RJ, Swanepoel W, Ratinaud P, Bailey A, Pennebaker JW, Manchaiah V.","Int J Audiol. 2021 Nov;60(11):917-926. doi: 10.1080/14992027.2021.1931487. Epub 2021 Jun 13.","Bennett RJ","Int J Audiol","2021","2021/06/14","","","10.1080/14992027.2021.1931487"
"34606381","Transient Noise Reduction Using a Deep Recurrent Neural Network: Effects on Subjective Speech Intelligibility and Listening Comfort","Keshavarzi M, Reichenbach T, Moore BCJ.","Trends Hear. 2021 Jan-Dec;25:23312165211041475. doi: 10.1177/23312165211041475.","Keshavarzi M","Trends Hear","2021","2021/10/04","PMC8642050","","10.1177/23312165211041475"
"33903231","Multiscale photonic imaging of the native and implanted cochlea","Keppeler D, Kampshoff CA, Thirumalai A, Duque-Afonso CJ, Schaeper JJ, Quilitz T, Töpperwien M, Vogl C, Hessler R, Meyer A, Salditt T, Moser T.","Proc Natl Acad Sci U S A. 2021 May 4;118(18):e2014472118. doi: 10.1073/pnas.2014472118.","Keppeler D","Proc Natl Acad Sci U S A","2021","2021/04/27","PMC8106341","","10.1073/pnas.2014472118"
"27006003","Spectral and binaural loudness summation for hearing-impaired listeners","Oetting D, Hohmann V, Appell JE, Kollmeier B, Ewert SD.","Hear Res. 2016 May;335:179-192. doi: 10.1016/j.heares.2016.03.010. Epub 2016 Mar 19.","Oetting D","Hear Res","2016","2016/03/24","","","10.1016/j.heares.2016.03.010"
"30366194","Use of non-invasive measures to predict cochlear synapse counts","Bramhall NF, McMillan GP, Kujawa SG, Konrad-Martin D.","Hear Res. 2018 Dec;370:113-119. doi: 10.1016/j.heares.2018.10.006. Epub 2018 Oct 13.","Bramhall NF","Hear Res","2018","2018/10/27","PMC7161203","NIHMS1578877","10.1016/j.heares.2018.10.006"
"36628453","Optimization of Sound Coding Strategies to Make Singing Music More Accessible for Cochlear Implant Users","Tahmasebi S, Segovia-Martinez M, Nogueira W.","Trends Hear. 2023 Jan-Dec;27:23312165221148022. doi: 10.1177/23312165221148022.","Tahmasebi S","Trends Hear","2023","2023/01/11","PMC9837293","","10.1177/23312165221148022"
"33706223","DARF: A data-reduced FADE version for simulations of speech recognition thresholds with real hearing aids","Hülsmeier D, Schädler MR, Kollmeier B.","Hear Res. 2021 May;404:108217. doi: 10.1016/j.heares.2021.108217. Epub 2021 Feb 22.","Hülsmeier D","Hear Res","2021","2021/03/11","","","10.1016/j.heares.2021.108217"
"33400550","When Hearing Does Not Mean Understanding: On the Neural Processing of Syntactically Complex Sentences by Listeners With Hearing Loss","Vogelzang M, Thiel CM, Rosemann S, Rieger JW, Ruigendijk E.","J Speech Lang Hear Res. 2021 Jan 14;64(1):250-262. doi: 10.1044/2020_JSLHR-20-00262. Epub 2021 Jan 5.","Vogelzang M","J Speech Lang Hear Res","2021","2021/01/05","","","10.1044/2020_JSLHR-20-00262"
"32327469","Aging But Not Age-Related Hearing Loss Dominates the Decrease of Parvalbumin Immunoreactivity in the Primary Auditory Cortex of Mice","Rogalla MM, Hildebrandt KJ.","eNeuro. 2020 May 8;7(3):ENEURO.0511-19.2020. doi: 10.1523/ENEURO.0511-19.2020. Print 2020 May/Jun.","Rogalla MM","eNeuro","2020","2020/04/25","PMC7210488","","10.1523/ENEURO.0511-19.2020"
"25323153","Use of data mining to predict significant factors and benefits of bilateral cochlear implantation","Ramos-Miguel A, Perez-Zaballos T, Perez D, Falconb JC, Ramosb A.","Eur Arch Otorhinolaryngol. 2015 Nov;272(11):3157-62. doi: 10.1007/s00405-014-3337-3. Epub 2014 Oct 17.","Ramos-Miguel A","Eur Arch Otorhinolaryngol","2015","2014/10/18","","","10.1007/s00405-014-3337-3"
"28397520","Perceptions of public primary school teachers regarding noise-induced hearing loss in South Africa","Ehlert K.","S Afr J Commun Disord. 2017 Mar 28;64(1):e1-e12. doi: 10.4102/sajcd.v64i1.185.","Ehlert K","S Afr J Commun Disord","2017","2017/04/12","PMC5843150","","10.4102/sajcd.v64i1.185"
"34898654","Assessing the relationship between neural health measures and speech performance with simultaneous electric stimulation in cochlear implant listeners","Langner F, Arenberg JG, Büchner A, Nogueira W.","PLoS One. 2021 Dec 13;16(12):e0261295. doi: 10.1371/journal.pone.0261295. eCollection 2021.","Langner F","PLoS One","2021","2021/12/13","PMC8668108","","10.1371/journal.pone.0261295"
"33617194","Improved Speech Intelligibility in Subjects With Stable Sensorineural Hearing Loss Following Intratympanic Dosing of FX-322 in a Phase 1b Study","McLean WJ, Hinton AS, Herby JTJ, Salt AN, Hartsock JJ, Wilson S, Lucchino DL, Lenarz T, Warnecke A, Prenzler N, Schmitt H, King S, Jackson LE, Rosenbloom J, Atiee G, Bear M, Runge CL, Gifford RH, Rauch SD, Lee DJ, Langer R, Karp JM, Loose C, LeBel C.","Otol Neurotol. 2021 Aug 1;42(7):e849-e857. doi: 10.1097/MAO.0000000000003120.","McLean WJ","Otol Neurotol","2021","2021/02/22","PMC8279894","","10.1097/MAO.0000000000003120"
"36683390","Different neuroanatomical correlates for temporal and spectral supra-threshold auditory tasks and speech in noise recognition in older adults with hearing impairment","Neuschwander P, Schmitt R, Jagoda L, Kurthen I, Giroud N, Meyer M.","Eur J Neurosci. 2023 Mar;57(6):981-1002. doi: 10.1111/ejn.15922. Epub 2023 Feb 20.","Neuschwander P","Eur J Neurosci","2023","2023/01/23","","","10.1111/ejn.15922"
"27627181","Perceived listening effort and speech intelligibility in reverberation and noise for hearing-impaired listeners","Schepker H, Haeder K, Rennies J, Holube I.","Int J Audiol. 2016 Dec;55(12):738-747. doi: 10.1080/14992027.2016.1219774. Epub 2016 Sep 14.","Schepker H","Int J Audiol","2016","2016/09/15","","","10.1080/14992027.2016.1219774"
"25065298","Rapid bilateral improvement in auditory cortex activity in postlingually deafened adults following cochlear implantation","Sandmann P, Plotz K, Hauthal N, de Vos M, Schönfeld R, Debener S.","Clin Neurophysiol. 2015 Mar;126(3):594-607. doi: 10.1016/j.clinph.2014.06.029. Epub 2014 Jul 3.","Sandmann P","Clin Neurophysiol","2015","2014/07/29","","","10.1016/j.clinph.2014.06.029"
"32815756","Clinical validation of the Russian Matrix test - effect of hearing loss, age, and noise level","Warzybok A, Zhilinskaya E, Goykhburg M, Tavartkiladze G, Kollmeier B, Boboshko M.","Int J Audiol. 2020 Dec;59(12):930-940. doi: 10.1080/14992027.2020.1806368. Epub 2020 Aug 20.","Warzybok A","Int J Audiol","2020","2020/08/21","","","10.1080/14992027.2020.1806368"
"16930965","Auditory brainstem response classification: a hybrid model using time and frequency features","Davey R, McCullagh P, Lightbody G, McAllister G.","Artif Intell Med. 2007 May;40(1):1-14. doi: 10.1016/j.artmed.2006.07.001. Epub 2006 Aug 22.","Davey R","Artif Intell Med","2007","2006/08/26","","","10.1016/j.artmed.2006.07.001"
"30217173","Notch polymorphisms associated with sensitivity of noise induced hearing loss among Chinese textile factory workers","Ding E, Liu J, Shen H, Gong W, Zhang H, Song H, Zhu B.","BMC Med Genet. 2018 Sep 14;19(1):168. doi: 10.1186/s12881-018-0676-8.","Ding E","BMC Med Genet","2018","2018/09/16","PMC6137875","","10.1186/s12881-018-0676-8"
"17079121","Experimental-neuromodeling framework for understanding auditory object processing: integrating data across multiple scales","Husain FT, Horwitz B.","J Physiol Paris. 2006 Jul-Sep;100(1-3):133-41. doi: 10.1016/j.jphysparis.2006.09.006. Epub 2006 Oct 31.","Husain FT","J Physiol Paris","2006","2006/11/03","PMC1941673","NIHMS15172","10.1016/j.jphysparis.2006.09.006"
"38277881","Tripolar configuration and pulse shape in cochlear implants reduce channel interactions in the temporal domain","Quass GL, Kral A.","Hear Res. 2024 Mar 1;443:108953. doi: 10.1016/j.heares.2024.108953. Epub 2024 Jan 19.","Quass GL","Hear Res","2024","2024/01/26","","","10.1016/j.heares.2024.108953"
"36613734","Prevention of Noise-Induced Hearing Loss In Vivo: Continuous Application of Insulin-like Growth Factor 1 and Its Effect on Inner Ear Synapses, Auditory Function and Perilymph Proteins","Malfeld K, Armbrecht N, Pich A, Volk HA, Lenarz T, Scheper V.","Int J Mol Sci. 2022 Dec 24;24(1):291. doi: 10.3390/ijms24010291.","Malfeld K","Int J Mol Sci","2022","2023/01/08","PMC9820558","","10.3390/ijms24010291"
"30782695","Hearing Norton Sound: a community randomised trial protocol to address childhood hearing loss in rural Alaska","Emmett SD, Robler SK, Wang NY, Labrique A, Gallo JJ, Hofstetter P.","BMJ Open. 2019 Jan 15;9(1):e023078. doi: 10.1136/bmjopen-2018-023078.","Emmett SD","BMJ Open","2019","2019/02/21","PMC6340015","","10.1136/bmjopen-2018-023078"
"36456299","A convolutional neural network-based framework for analysis and assessment of non-linguistic sound classification and enhancement for normal hearing and cochlear implant listeners","Shekar RCMC, Hansen JHL.","J Acoust Soc Am. 2022 Nov;152(5):2720. doi: 10.1121/10.0014955.","Shekar RCMC","J Acoust Soc Am","2022","2022/12/01","PMC9637023","","10.1121/10.0014955"
"26721922","Comparing Binaural Pre-processing Strategies III: Speech Intelligibility of Normal-Hearing and Hearing-Impaired Listeners","Völker C, Warzybok A, Ernst SM.","Trends Hear. 2015 Dec 30;19:2331216515618609. doi: 10.1177/2331216515618609.","Völker C","Trends Hear","2015","2016/01/02","PMC4771033","","10.1177/2331216515618609"
"21792974","Cluster analysis of auditory and vestibular test results in definite Menière's disease","Montes-Jovellar L, Guillen-Grima F, Perez-Fernandez N.","Laryngoscope. 2011 Aug;121(8):1810-7. doi: 10.1002/lary.21844.","Montes-Jovellar L","Laryngoscope","2011","2011/07/28","","","10.1002/lary.21844"
"26778469","Prevalence and audiological profiles of GJB2 mutations in a large collective of hearing impaired patients","Burke WF, Warnecke A, Schöner-Heinisch A, Lesinski-Schiedat A, Maier H, Lenarz T.","Hear Res. 2016 Mar;333:77-86. doi: 10.1016/j.heares.2016.01.006. Epub 2016 Jan 15.","Burke WF","Hear Res","2016","2016/01/19","","","10.1016/j.heares.2016.01.006"
"34883040","Premium versus entry-level hearing aids: using group concept mapping to investigate the drivers of preference","Saleh HK, Folkeard P, Van Eeckhoutte M, Scollie S.","Int J Audiol. 2022 Dec;61(12):1003-1017. doi: 10.1080/14992027.2021.2009923. Epub 2021 Dec 9.","Saleh HK","Int J Audiol","2022","2021/12/09","","","10.1080/14992027.2021.2009923"
"32574478","Single-Sided Deafness-Outcomes of Three Interventions for Profound Unilateral Sensorineural Hearing Loss: A Randomized Clinical Trial","Fogels J, Jönsson R, Sadeghi A, Flynn M, Flynn T.","Otol Neurotol. 2020 Jul;41(6):736-744. doi: 10.1097/MAO.0000000000002633.","Fogels J","Otol Neurotol","2020","2020/06/24","","","10.1097/MAO.0000000000002633"
"26364512","Characteristics and international comparability of the Finnish matrix sentence test in cochlear implant recipients","Dietz A, Buschermöhle M, Sivonen V, Willberg T, Aarnisalo AA, Lenarz T, Kollmeier B.","Int J Audiol. 2015;54 Suppl 2:80-7. doi: 10.3109/14992027.2015.1070309. Epub 2015 Aug 28.","Dietz A","Int J Audiol","2015","2015/09/15","","","10.3109/14992027.2015.1070309"
"32097930","Audiological Results with the SAMBA Audio Processor in Comparison to the Amadé for the Vibrant Soundbridge","Zimmermann D, Busch S, Lenarz T, Maier H.","Audiol Neurootol. 2020;25(3):164-172. doi: 10.1159/000506067. Epub 2020 Feb 25.","Zimmermann D","Audiol Neurootol","2020","2020/02/26","","","10.1159/000506067"
"22796193","Speech perception and cortical auditory evoked potentials in cochlear implant users with auditory neuropathy spectrum disorders","Alvarenga KF, Amorim RB, Agostinho-Pesse RS, Costa OA, Nascimento LT, Bevilacqua MC.","Int J Pediatr Otorhinolaryngol. 2012 Sep;76(9):1332-8. doi: 10.1016/j.ijporl.2012.06.001. Epub 2012 Jul 15.","Alvarenga KF","Int J Pediatr Otorhinolaryngol","2012","2012/07/17","","","10.1016/j.ijporl.2012.06.001"
"27460871","Selecting Appropriate Tests to Assess the Benefits of Bilateral Amplification With Hearing Aids","van Schoonhoven J, Schulte M, Boymans M, Wagener KC, Dreschler WA, Kollmeier B.","Trends Hear. 2016 Jul 26;20:2331216516658239. doi: 10.1177/2331216516658239.","van Schoonhoven J","Trends Hear","2016","2016/07/28","PMC4964154","","10.1177/2331216516658239"
"35687003","Garland chrysanthemum consumption ameliorates age-related hearing loss in C57BL/6 mouse; model system to explore hearing loss prevention foods in a short period","Oike H, Tomita S, Koyano H, Azami K.","Biosci Biotechnol Biochem. 2022 Jul 22;86(8):1085-1094. doi: 10.1093/bbb/zbac092.","Oike H","Biosci Biotechnol Biochem","2022","2022/06/10","","","10.1093/bbb/zbac092"
