ORN,VN,DB,UI,TI,SO,AU,AO,IN,PB,AB,FTURL,XL,PM
270,Ovid Technologies,Embase,632243243,A National Survey of Hearing Loss in the Philippines.,"Asia-Pacific journal of public health. 32(5) (pp 235-241), 2020. Date of Publication: 01 Jul 2020.","Newall J.P.

Martinez N.

Swanepoel W.

McMahon C.M.","Newall, John P.; ORCID: https://orcid.org/0000-0002-7159-9677","(Newall, McMahon) Macquarie University, Sydney, NSW, Australia

(Martinez) University of Santo Tomas, Manila, Philippines

(Swanepoel) University of Pretoria, Pretoria, South Africa",NLM (Medline),"This study aimed to estimate the prevalence of hearing loss in the Philippines using a nationally representative sample. A cross-sectional national survey was undertaken utilizing a 3-stage stratified cluster design. Participants in the present study comprised 2275 adults and children with pure tone hearing assessment results. Prevalence of moderate or worse hearing loss, defined as 4FA >=41 dBHL, was 7.5% in children <18 years, 14.7% in adults between 18 and 65 years, and 49.1% in adults >65 years. Factors associated with greater risk of moderate hearing loss in the better ear were presence of a middle ear condition (adjusted odds ratio = 2.39, 95% confidence interval = 1.49-3.85) and socioeconomic status (household income; adjusted odds ratio = 1.64, 95% confidence interval = 1.23-2.19). Age was also associated with increased risk, with adjusted odds ratios varying with age category. Prevalence of wax occlusion and outer and middle ear disease was 12.2% and 14.2%, respectively. Prevalence of hearing loss, outer, and middle ear disease appear comparatively high in the Philippines when compared with rates reported in high-income countries. Higher proportions of severe to profound hearing loss were also identified, indicating that there is both an increased prevalence and severity of hearing loss in this population.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed21&DO=10.1177%2f1010539520937086,SFX,32608243 [https://www.ncbi.nlm.nih.gov/pubmed/?term=32608243]
271,Ovid Technologies,Embase,2004071902,Altered verbal fluency processes in older adults with age-related hearing loss.,"Experimental Gerontology. 130(no pagination), 2020. Article Number: 110794. Date of Publication: February 2020.","Loughrey D.G.

Pakhomov S.V.S.

Lawlor B.A.",,"(Loughrey, Lawlor) Global Brain Health Institute, Trinity College Dublin, Ireland

(Loughrey, Lawlor) Global Brain Health Institute, University of California, San Francisco, United States

(Pakhomov) Institute for Health Informatics, University of Minnesota, Minneapolis, United States

(Lawlor) Mercer's Institute for Successful Ageing, St James Hospital, Dublin, Ireland

(Loughrey) Trinity College Institute of Neuroscience, Trinity College Dublin",Elsevier Inc. (E-mail: usjcs@elsevier.com),"Epidemiological studies have linked age-related hearing loss (ARHL) with an increased risk of neurocognitive decline. Difficulties in speech perception with subsequent changes in brain morphometry, including regions important for lexical-semantic memory, are thought to be a possible mechanism for this relationship. This study investigated differences in automatic and executive lexical-semantic processes on verbal fluency tasks in individuals with acquired hearing loss. The primary outcomes were indices of automatic (clustering/word retrieval at start of task) and executive (switching/word retrieval after start of the task) processes from semantic and phonemic fluency tasks. To extract indices of clustering and switching, we used both manual and computerised methods. There were no differences between groups on indices of executive fluency processes or on any indices from the semantic fluency task. The hearing loss group demonstrated weaker automatic processes on the phonemic fluency task. Further research into differences in lexical-semantic processes with ARHL is warranted.Copyright © 2019 Elsevier Inc.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed21&DO=10.1016%2fj.exger.2019.110794,SFX,31790801 [https://www.ncbi.nlm.nih.gov/pubmed/?term=31790801]
272,Ovid Technologies,Embase,633957184,Addressing the gap: AIDS presenting as herpes zoster polycranial neuritis with a globulin gap and parotid lymphoepithelial lesions.,"Journal of General Internal Medicine. Conference: Annual Meeting of the Society of General Internal Medicine, SGIM 2020. Birmingham, AL United States. 35(SUPPL 1) (pp S362), 2020. Date of Publication: July 2020.","Schwitalla T.

Mir J.D.

Melzer E.",,"(Schwitalla) Psychiatry, Univerisity of South Florida, Tampa, FL, United States

(Mir, Melzer) Internal Medicine, USF, Tampa, FL, United States",Springer New York LLC,"LEARNING OBJECTIVE #1: Diagnose HIV in patients presenting with Herpes Zoster, a globulin gap, or with lympoepithelial lesions. LEARNING OBJECTIVE #2: Recognize that Herpes Zoster can present with polycranial neuritis. CASE: A 37 year-old-female presented with a painful, burning rash on the left face that spread to the oropharynx over the course of three days. Associated symptoms include dysgeusia, otalgia, vertigo, headache, and pain with opening her jaw. She denied fatigue, night sweats, fevers, weight loss, hearing loss, or ocular symptoms. On exam, she was afebrile with normal vital signs and appeared uncomfortable. There was a vesicular rash on the left external auditory canal, auricle, cheek, chin, and lower lip. Ulcerations were present on the left tongue, soft palate and anterior tonsillar pillar that did not cross midline. There was no ocular involvement. A left-sided facial nerve palsy and cervical lymphadenopathy were noted. Labs noted lymphopenia, globulin gap, and HIV positivity with a CD4 count of 54 (normal >500). Maxillofacial CT revealed parotid lymphoepithelial lesions and nasopharyngeal abscess superimposed on a herpes zoster (HZ) cluster. She was diagnosed with HZ with polycranial involvement (cranial nerves V and VII) in the setting of newly diagnosed Acquired Immunodeficiency syndrome (AIDS). Treatments included IV acyclovir, prednisone, empiric antibiotics for the abscess not amenable to drainage, cortisporin otic drops, and supportive care. She was started on bictegravir/emtricitabine/ tenofovir as acute retroviral syndrome could not be ruled out. The patient clinically improved and was discharged with close follow-up. IMPACT/DISCUSSION: Ramsay Hunt Syndrome (HZ Oticus) classically presents with HZ reactivation involving the facial nerve with ipsilateral facial palsy and rash in the ear and mouth. HZ can also involve the trigeminal nerve. The ophthalmic branch is most commonly affected; the maxillary and mandibular branches are rarely involved. Here we describe a rare presentation of HZ with polycranial involvement of both the facial and the mandibular branch of the trigeminal nerve. Patients with HZ should be monitored closely for development of ocular involvement which is associated with significant morbidity. Other complications of HZ include abscess formation as varicella infection predisposes to secondary bacterial infection as seen in this patient. Another important point is that this patient initially presented to an outside hospital and was diagnosed with HZ; however, her globulin gap was not evaluated and her HIV status was not assessed. In this case, why would a young patient present with Herpes Zoster with a globulin gap and parotid lympoepithelial lesions? Immunodeficiency must be considered and recognition will result in earlier diagnosis with improved outcomes. CONCLUSION(S): HIV status should be assessed in patients presenting with Herpes Zoster, a globulin gap, or lymphoepithelial lesions. Herpes Zoster can present with polycranial neuritis and timely treatment is essential to decrease morbidity.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed21&DO=10.1007%2fs11606-020-05890-3,SFX,
273,Ovid Technologies,Embase,633859547,Prediction of outcome after cochlear implantation using machine learning.,"Otolaryngology - Head and Neck Surgery. Conference: Annual Meeting of the American Academy of Otolaryngology-Head and Neck Surgery Foundation 2020. Virtual. 163(1 SUPPL) (pp P242), 2020. Date of Publication: September 2020.","Kim K.-H.

Lee J.-H.",,,SAGE Publications Inc.,"Objectives: Recently, brain plasticity across modalities during deafness has been reported as being associated with individual outcomes. However, many are from cross-sectional or case studies, whereas longitudinal observation in multiple patients is scarce. Therefore, we developed a prediction system using machine learning based on cross-modal plasticity in a longitudinal study with multiple subjects. We sought to develop electroencephalography biomarkers for evaluating and predicting outcomes after cochlear implantation (CI). Method(s): Classification of patients with excellent or good outcome was based on the features of brain cross-modal plasticity measured using auditory, visual, and tactile event-related responses and their corresponding electromagnetic sources. Prediction accuracy, sensitivity/specificity, total error cost, and training time were compared among conditions and machine learning estimation model is based on linear supervised training. Result(s): Twelve data sets were collected from 4 patients. More effective classification between excellent and good outcome was possible with the combined features of sensor-level latency and sources. Specifically, the tactile feature was found to be a factor that best explains CI outcome (accuracy 89%, sensitivity 91, specificity 87, total error cost 2), followed by visual feature (accuracy 78%, sensitivity 76, specificity 72, error cost 4). Conclusion(s): Our results suggest that cross-modal brain plasticity due to deafness would provide a basis for classifying the status and prognosis of the CI users. We expect that this novel method contributes to evaluating and predicting outcomes after cochlear implantation.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed21&DO=10.1177%2f0194599820934781,SFX,
274,Ovid Technologies,Embase,631197932,A novel CHD7 missense variant causing charge syndrome.,"Journal of Investigative Medicine. Conference: 2020 Southern Regional Meeting. New Orleans, LA United States. 68(2) (pp 582), 2020. Date of Publication: February 2020.","Joslyn P.

Meddaugh H.

Torres J.

Patrick J.

Olister S.

Mumphrey C.

Zambrano R.",,"(Joslyn, Torres, Patrick, Olister, Mumphrey, Zambrano) LSU Health Sciences Center, New Orleans, LA, United States

(Meddaugh) Children's Hospital New Orleans, New Orleans, LA, United States",BMJ Publishing Group,"Case report The patient is a male infant born at term who developed respiratory distress shortly after birth. Pertinent physical exam findings included noisy breathing, cupped ear, micrognathia, prominent forehead, mouth with downturned corners, small penis, and decreased tone for age. An NG tube could not be passed through either nasal passage. The patient underwent fiberoptic nasopharyngoscopy which revealed bilateral choanal atresia. Stents were subsequant placement. An MRI of the IAC revealed absence of CNs VII and VIII as well as IAC atresia, absence of the lateral and posterior semicircular canals, and incomplete separation of the cochlear apparatus. A comprehensive ABR showed profound SN hearing loss. Karyotype resulted 46, XY, and the patient's aneuploidy panel and state NBS were normal. The patient fulfilled the diagnosis of CHARGE syndrome based on the clinical criteria. Findings consistent with the syndrome included: choanal atresia, CNs VII and VIII anomalies, genital hypoplasia, malformed internal and external ear, decreased tone, short stature, and prominent forehead. Molecular analysis of the CHD7 gene was performed which revealed a heterozygous missense variant, c.5243 T>C (p. Leu1748Pro). The patient's mother and father were not carriers of this variant, confirming de novo origin. This variant has not previously been published and is currently classified as a VUS; however, in-silico analyses support a deleterious effect. CHARGE syndrome is a multiorgan malformation syndrome, first described in 1979. The 'CHARGE' mnemonic was coined as a way to memorably summarize the original cluster of features, including C-coloboma, H-heart disease, Aatresia of the choanae, R-retarded growth and development, G-genital hypoplasia, and E-ear anomalies or deafness. CDH7 was established as the major causative gene in the syndrome in 2004. Most known pathogenic CHD7 variants are truncating nonsense and frameshift variants, and while there are reports of pathogenic missense variants, they represent only a small percentage of the known pathogenic variants. Our patient's CHD7 variant adds to the growing literature of likely pathogenic missense variants.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed21&DO=10.1136%2fjim-2020-SRM.368,SFX,
275,Ovid Technologies,Embase,625634447,Cortical networks for speech motor control in unilateral vocal fold paralysis.,"Laryngoscope. 129(9) (pp 2125-2130), 2019. Date of Publication: September 2019.","Naunheim M.L.

Yung K.C.

Schneider S.L.

Henderson-Sabes J.

Kothare H.

Hinkley L.B.

Mizuiri D.

Klein D.J.

Houde J.F.

Nagarajan S.S.

Cheung S.W.","Naunheim, Molly L.; ORCID: https://orcid.org/0000-0002-3857-5315

Cheung, Steven W.; ORCID: https://orcid.org/0000-0003-1724-4944

Kothare, Hardik; ORCID: https://orcid.org/0000-0003-4305-0334","(Naunheim, Schneider, Henderson-Sabes, Klein, Houde, Nagarajan, Cheung) Department of Otolaryngology-Head and Neck Surgery, University of California, San Francisco, CA, United States

(Yung) San Francisco Voice & Swallowing, University of California, San Francisco, CA, United States

(Kothare, Hinkley, Mizuiri, Nagarajan) Department of Radiology and Biomedical Imaging, University of California, San Francisco, CA, United States",John Wiley and Sons Inc,"Objective: To evaluate brain networks for motor control of voice production in patients with treated unilateral vocal fold paralysis (UVFP). Study Design: Cross-sectional comparison. Method(s): Nine UVFP patients treated by type I thyroplasty, and 11 control subjects were compared using magnetoencephalographic imaging to measure beta band (12-30 Hz) neural oscillations during voice production with perturbation of pitch feedback. Differences in beta band power relative to baseline were analyzed to identify cortical areas with abnormal activity within the 400 ms perturbation period and 125 ms beyond, for a total of 525 ms. Result(s): Whole-brain task-induced beta band activation patterns were qualitatively similar in both treated UVFP patients and healthy controls. Central vocal motor control plasticity in UVFP was expressed within constitutive components of central human communication networks identified in healthy controls. Treated UVFP patients exhibited statistically significant enhancement (P < 0.05) in beta band activity following pitch perturbation onset in left auditory cortex to 525 ms, left premotor cortex to 225 ms, and left and right frontal cortex to 525 ms. Conclusion(s): This study further corroborates that a peripheral motor impairment of the larynx can affect central cortical networks engaged in auditory feedback processing, vocal motor control, and judgment of voice-as-self. Future research to dissect functional relationships among constitutive cortical networks could reveal neurophysiological bases of central contributions to voice production impairment in UVFP. Those novel insights would motivate innovative treatments to improve voice production and reduce misalignment of voice-quality judgment between clinicians and patients. Level of Evidence: 3b. Laryngoscope, 129:2125-2130, 2019.Copyright © 2018 The American Laryngological, Rhinological and Otological Society, Inc.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed20&DO=10.1002%2flary.27730,SFX,30570142 [https://www.ncbi.nlm.nih.gov/pubmed/?term=30570142]
276,Ovid Technologies,Embase,626687802,Categorization of everyday sounds by cochlear implanted children.,"Scientific reports. 9(1) (pp 3532), 2019. Date of Publication: 05 Mar 2019.","Berland A.

Collett E.

Gaillard P.

Guidetti M.

Strelnikov K.

Cochard N.

Barone P.

Deguine O.","Gaillard, Pascal; ORCID: https://orcid.org/0000-0003-0389-1593

Strelnikov, Kuzma; ORCID: https://orcid.org/0000-0003-1243-4407","(Berland, Collett, Strelnikov, Barone, Deguine) UMR 5549, Faculte de Medecine Purpan, Centre National de la Recherche Scientifique, Toulouse, France

(Berland, Collett, Strelnikov, Barone, Deguine) Centre de Recherche Cerveau et Cognition, Universite de Toulouse, Universite Paul Sabatier, Toulouse, France

(Berland, Gaillard, Guidetti) Unite de Recherche Interdisciplinaire Octogone, EA4156, Laboratoire Cognition, Communication et Developpement, Universite de Toulouse Jean-Jaures, Toulouse, France

(Strelnikov, Cochard, Deguine) Faculte de Medecine de Purpan, Toulouse, France; Service d'Oto-Rhino-Laryngologie et Oto-Neurologie, Hopital Purpan, Toulouse, France",NLM (Medline),"Auditory categorization is an important process in the perception and understanding of everyday sounds. The use of cochlear implants (CIs) may affect auditory categorization and result in poor abilities. The current study was designed to compare how children with normal hearing (NH) and children with CIs categorize a set of everyday sounds. We tested 24 NH children and 24 children with CI on a free-sorting task of 18 everyday sounds corresponding to four a priori categories: nonlinguistic human vocalizations, environmental sounds, musical sounds, and animal vocalizations. Multiple correspondence analysis revealed considerable variation within both groups of child listeners, although the human vocalizations and musical sounds were similarly categorized. In contrast to NH children, children with CIs categorized some sounds according to their acoustic content rather than their associated semantic information. These results show that despite identification deficits, children with CIs are able to categorize environmental and vocal sounds in a similar way to NH children, and are able to use categorization as an adaptive process when dealing with everyday sounds.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed20&DO=10.1038%2fs41598-019-39991-9,SFX,30837546 [https://www.ncbi.nlm.nih.gov/pubmed/?term=30837546]
277,Ovid Technologies,Embase,628515102,"A New Speech, Spatial, and Qualities of Hearing Scale Short-Form: Factor, Cluster, and Comparative Analyses.","Ear and hearing. 40(4) (pp 938-950), 2019. Date of Publication: 01 Jul 2019.","Moulin A.

Vergne J.

Gallego S.

Micheyl C.",,"(Moulin, Vergne) INSERM U1028, CNRS UMR 5292, Lyon Neuroscience Research Center, Brain Dynamics and Cognition Team, University of Lyon, Lyon, France

(Moulin, Vergne) Universite C. Bernard Lyon 1, Lyon Neuroscience Research Center, Brain Dynamics and Cognition Team, University of Lyon, Lyon, France

(Gallego) Institut des Sciences et Technologies de Readaptation (ISTR), University of Lyon, Lyon, France

(Gallego) LyonFrance

(Gallego) Laboratory of Integrative and Adaptive Neurosciences (LNIA) UMR 7260, Aix-Marseille University-CNRS, Marseille, France

(Micheyl) Starkey Hearing Technologies, Creteil, France

(Micheyl) Starkey Hearing Research Center, Berkeley, CA, United States

(Micheyl) INSERM U1028, CNRS UMR 5292, Cognition and Auditory Perception Team (CAP), Lyon Neuroscience Research Center, University of Lyon, Lyon, France",NLM (Medline),"OBJECTIVES: The objective of this work was to build a 15-item short-form of the Speech Spatial and Qualities of Hearing Scale (SSQ) that maintains the three-factor structure of the full form, using a data-driven approach consistent with internationally recognized procedures for short-form building. This included the validation of the new short-form on an independent sample and an in-depth, comparative analysis of all existing, full and short SSQ forms. DESIGN: Data from a previous study involving 98 normal-hearing (NH) individuals and 196 people with hearing impairments (HI), non hearing aid wearers, along with results from several other published SSQ studies, were used for developing the short-form. Data from a new and independent sample of 35 NH and 88 HI hearing aid wearers were used to validate the new short-form. Factor and hierarchical cluster analyses were used to check the factor structure and internal consistency of the new short-form. In addition, the new short-form was compared with all other SSQ forms, including the full SSQ, the German SSQ15, the SSQ12, and the SSQ5. Construct validity was further assessed by testing statistical relationships between scores and audiometric factors, including pure-tone threshold averages (PTAs) and left/right PTA asymmetry. Receiver-operating characteristic analyses were used to compare the ability of different SSQ forms to discriminate between NH and HI (HI non hearing aid wearers and HI hearing aid wearers) individuals. RESULT(S): Compared all other SSQ forms, including the full SSQ, the new short-form showed negligible cross-loading across the three main subscales and greater discriminatory power between NH and HI subjects (as indicated by a larger area under the receiver-operating characteristic curve), as well as between the main subscales (especially Speech and Qualities). Moreover, the new, 5-item Spatial subscale showed increased sensitivity to left/right PTA asymmetry. Very good internal consistency and homogeneity and high correlations with the SSQ were obtained for all short-forms. CONCLUSION(S): While maintaining the three-factor structure of the full SSQ, and exceeding the latter in terms of construct validity and sensitivity to audiometric variables, the new 15-item SSQ affords a substantial reduction in the number of items and, thus, in test time. Based on overall scores, Speech subscores, or Spatial subscores, but not Qualities subscores, the 15-item SSQ appears to be more sensitive to differences in self-evaluated hearing abilities between NH and HI subjects than the full SSQ.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed20&DO=10.1097%2fAUD.0000000000000675,SFX,30461444 [https://www.ncbi.nlm.nih.gov/pubmed/?term=30461444]
278,Ovid Technologies,Embase,2004767265,"Prevalence of cerumen impaction and associated factors among primary school children in Mwanza City, Tanzania.","Tanzania Journal of Health Research. 21(1) (pp 1-9), 2019. Date of Publication: 2019.","Mabenda S.B.

Bunabe G.

Gilyoma J.M.

Chalya P.L.

Mahalu W.",,"(Mabenda, Chalya) Department of Surgery, Catholic University of Health and Allied Sciences, Bugando, Mwanza, Tanzania

(Mabenda, Bunabe, Gilyoma) Department of Otorhinolaryngology, Catholic University of Health and Allied Sciences, Bugando, Mwanza, Tanzania

(Mahalu) Department of Cardiothoracic, Catholic University of Health and Allied Sciences, Bugando, Mwanza, Tanzania",National Institute for Medical Research,"Background: Cerumen impaction is a worldwide problem constituting a significant proportion of health problems in many settings and its prevalence varies. There is a paucity of published data regarding this condition in Tanzania with none from Mwanza region. The aim of this study was to determine the prevalence of cerumen impaction and associated factors among primary school children in Mwanza City and to assess the effect of cerumen impaction and its removal on hearing ability Methods and Patients: This was a cross-sectional, community based study of primary school children with cerumen impaction that was carried out in randomly selected primary schools in Mwanza City between December 2016 and May 2017. Multistage cluster sampling technique was employed to obtain a required number of the study population. Result(s): Out of the 406 participants, ninety-five (23.4%) had cerumen impacted in their ears. Of these, 56 (58.9%) were males and 39(41.1%) were females. The mean age at presentation was 11.24+/-8.86 years. Ear bud abuse (83.7%) was the most common predisposing factor for cerumen impaction. Cerumen impaction was found in the right ear of 9 (9.5%) patients and in the left ear in 31 (32.6%) patients and bilateral in 55 (57.9%) of patients. The major presenting symptoms were ear itching, otalgia, hearing loss and tinnitus. Ear syringing was used to remove cerumen impaction and caused significant improvement in hearing thresholds. There were no recorded complications. Conclusion(s): Cerumen impaction is a common otologic presentation in our sub-region. Ignorance with the profound abuse of cotton buds is the major predisposing factor. Health education is of the essence as treatment is simple and effective.Copyright © 2019, National Institute for Medical Research. All rights reserved.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed20&DO=10.4314%2fthrb.v21i1.6,SFX,
279,Ovid Technologies,Embase,2003368215,Temporary visual deprivation causes decorrelation of spatiotemporal population responses in adult mouse auditory cortex.,"eNeuro. 6(6) (no pagination), 2019. Article Number: ENEURO.0269-19.2019. Date of Publication: November-December 2019.","Solarana K.

Liu J.

Bowen Z.

Lee H.-K.

Kanold P.O.",,"(Solarana, Liu, Bowen, Kanold) Department of Biology, University of Maryland, College Park, MD 20742, United States

(Lee) Department of Neuroscience, Mind/ Brain Institute, Johns Hopkins University, Baltimore, MD 21218, United States",Society for Neuroscience,"Although within-modality sensory plasticity is limited to early developmental periods, cross-modal plasticity can occur even in adults. In vivo electrophysiological studies have shown that transient visual deprivation (dark exposure, DE) in adult mice improves the frequency selectivity and discrimination of neurons in thalamorecipient layer 4 (L4) of primary auditory cortex (A1). Since sound information is processed hierarchically in A1 by populations of neurons, we investigated whether DE alters network activity in A1 L4 and layer 2/3 (L2/3). We examined neuronal populations in both L4 and L2/3 using in vivo two-photon calcium (Ca2+) imaging of transgenic mice expressing GCaMP6s. We find that one week of DE in adult mice increased the sound evoked responses and frequency selectivity of both L4 and L2/3 neurons. Moreover, after DE the frequency representation changed with L4 and L2/3 showing a reduced representation of cells with best frequencies (BFs) between 8 and 16 kHz and an increased representation of cells with BFs above 32 kHz. Cells in L4 and L2/3 showed decreased pairwise signal correlations (SCs) consistent with sharper tuning curves. The decreases in SCs were larger in L4 than in L2/3. The decreased pairwise correlations indicate a sparsification of A1 responses to tonal stimuli. Thus, cross-modal experience in adults can both alter the sound-evoked responses of A1 neurons and change activity correlations within A1 potentially enhancing the encoding of auditory stimuli.Copyright © 2019 Solarana et al.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed20&DO=10.1523%2fENEURO.0269-19.2019,SFX,31744840 [https://www.ncbi.nlm.nih.gov/pubmed/?term=31744840]
280,Ovid Technologies,Embase,626860698,The effect of cross-over frequency on binaural hearing performance of adults using electric-acoustic stimulation.,"Cochlear implants international. 20(4) (pp 190-206), 2019. Date of Publication: 01 Jul 2019.","Incerti P.V.

Ching T.Y.

Cowan R.","Ching, Teresa Yc; ORCID: https://orcid.org/0000-0002-1588-5599

Incerti, Paola V.; ORCID: https://orcid.org/0000-0002-1483-6672

Cowan, Robert; ORCID: https://orcid.org/0000-0002-4841-9623","(Incerti, Ching) National Acoustic Laboratories, Australian Hearing, Sydney NSW 2109, Australia

(Incerti, Ching, Cowan) The Hearing CRC, Melbourne, Australia

(Incerti, Cowan) Department of Audiology and Speech Pathology, University of Melbourne, Melbourne, Australia",NLM (Medline),"Objective: To investigate the effect of varying cross-over frequency (CF) settings for electric-acoustic (EA) stimulation in one ear combined with acoustic (A) hearing in the opposite ear on binaural speech perception, localization and functional performance in real life. Method(s): Performance with three different CF settings set according to audiometric-based criterion were compared, following a four week familiarisation period with each, in ten adult cochlear implant recipients with residual hearing in both ears. On completion of all trials participants selected their preferred CF setting. Result(s): On average, CF settings did not have a significant effect on performance scores. However, higher ratings on device usage were associated with the preferred CF settings. Conclusion(s): Individuals who use EA+A stimulation may benefit from access to different CF settings to achieve maximal device usage.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed20&DO=10.1080%2f14670100.2019.1590499,SFX,30880646 [https://www.ncbi.nlm.nih.gov/pubmed/?term=30880646]
281,Ovid Technologies,Embase,627861719,Recovery From Sudden Sensorineural Hearing Loss May Be Linked to Chronic Stress Levels and Steroid Treatment Resistance.,"American journal of audiology. 28(2) (pp 315-321), 2019. Date of Publication: 10 Jun 2019.","Ajduk J.

Kosec A.

Kelava I.

Ries M.

Greguric T.

Kalogjera L.",,"(Ajduk, Ries, Kalogjera) School of Medicine, University of Zagreb, Croatia

(Kosec, Kelava) Department of Otorhinolaryngology and Head and Neck Surgery, University Hospital Center Sestre milosrdnice, Zagreb, Croatia

(Greguric) Department of Radiology, University Hospital Center Sestre milosrdnice, Zagreb, Croatia",NLM (Medline),"Purpose This article investigates the possible connections between the level of chronic stress and success of steroid therapy in patients with sudden sensorineural hearing loss (SSNHL). Method A single-center, retrospective, longitudinal cohort study on 55 patients in a tertiary referral otology center was examined. Patients diagnosed with SSNHL between 2014 and 2017 were asked to complete a Measure of Perceived Stress (Brajac, Tkalcic, Dragojevic, & Gruber, 2003 ) questionnaire. Inclusion criteria were patients > 18 years of age, SSNHL diagnosed within 4 previous weeks, completed steroid treatment, and complete documentation. Results There were 30 patients (55%) that showed significant improvement in their pure-tone audiogram (PTA) hearing threshold average (>= 15 dB) after steroid treatment. Two-step cluster analysis identified 3 clusters based on average PTA hearing threshold recovery and average Measure of Perceived Stress scores. The difference between pretreatment and posttreatment hearing levels was significantly higher in the cluster with moderate stress compared to clusters with mild and high stress levels (Kruskal-Wallis test, Friedman test, p < .001). There were no significant differences in average PTA hearing threshold recovery after steroid therapy between groups of patients with mild and severe stress. Conclusion Patients with moderate stress levels show significantly better results after steroid treatment for SSNHL than patients with low or high stress levels.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed20&DO=10.1044%2f2019_AJA-18-0127,SFX,31084569 [https://www.ncbi.nlm.nih.gov/pubmed/?term=31084569]
282,Ovid Technologies,Embase,627516850,Online Machine Learning Audiometry.,"Ear and hearing. 40(4) (pp 918-926), 2019. Date of Publication: 01 Jul 2019.","Barbour D.L.

Howard R.T.

Song X.D.

Metzger N.

Sukesan K.A.

DiLorenzo J.C.

Snyder B.R.D.

Chen J.Y.

Degen E.A.

Buchbinder J.M.

Heisey K.L.",,"(Barbour, Howard, Song, Metzger, Sukesan, DiLorenzo, Snyder, Chen, Degen, Buchbinder, Heisey) Laboratory of Sensory Neuroscience and Neuroengineering, Department of Biomedical Engineering, Washington University in St. Louis, MO, United States

(Howard, Buchbinder) Program in Audiology and Communication Sciences, Department of Otolaryngology, Washington University School of Medicine, St. Louis, MO, United States

(Sukesan, DiLorenzo) Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO, United States",NLM (Medline),"OBJECTIVES: A confluence of recent developments in cloud computing, real-time web audio and machine learning psychometric function estimation has made wide dissemination of sophisticated turn-key audiometric assessments possible. The authors have combined these capabilities into an online (i.e., web-based) pure-tone audiogram estimator intended to empower researchers and clinicians with advanced hearing tests without the need for custom programming or special hardware. The objective of this study was to assess the accuracy and reliability of this new online machine learning audiogram method relative to a commonly used hearing threshold estimation technique also implemented online for the first time in the same platform. DESIGN: The authors performed air conduction pure-tone audiometry on 21 participants between the ages of 19 and 79 years (mean 41, SD 21) exhibiting a wide range of hearing abilities. For each ear, two repetitions of online machine learning audiogram estimation and two repetitions of online modified Hughson-Westlake ascending-descending audiogram estimation were acquired by an audiologist using the online software tools. The estimated hearing thresholds of these two techniques were compared at standard audiogram frequencies (i.e., 0.25, 0.5, 1, 2, 4, 8kHz). RESULT(S): The two threshold estimation methods delivered very similar threshold estimates at standard audiogram frequencies. Specifically, the mean absolute difference between threshold estimates was 3.24+/-5.15 dB. The mean absolute differences between repeated measurements of the online machine learning procedure and between repeated measurements of the Hughson-Westlake procedure were 2.85+/-6.57 dB and 1.88+/-3.56 dB, respectively. The machine learning method generated estimates of both threshold and spread (i.e., the inverse of psychometric slope) continuously across the entire frequency range tested from fewer samples on average than the modified Hughson-Westlake procedure required to estimate six discrete thresholds. CONCLUSION(S): Online machine learning audiogram estimation in its current form provides all the information of conventional threshold audiometry with similar accuracy and reliability in less time. More importantly, however, this method provides additional audiogram details not provided by other methods. This standardized platform can be readily extended to bone conduction, masking, spectrotemporal modulation, speech perception, etc., unifying audiometric testing into a single comprehensive procedure efficient enough to become part of the standard audiologic workup.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed20&DO=10.1097%2fAUD.0000000000000669,SFX,30358656 [https://www.ncbi.nlm.nih.gov/pubmed/?term=30358656]
