ORN,VN,DB,AN,TI,DP,YR,PH,AU,MA,SO,MO,OL,AB,CP,JN,VO,IP,PG,FTURL,XL,PE,OC,CA,PS,URL
25,Ovid Technologies,APA PsycInfo,2019-23495-090,Improvement of speech perception for hearing-impaired listeners.DP  - 2019,,2019,,"Du, Fang",,"Dissertation Abstracts International: Section B: The Sciences and Engineering. Vol.80,(5-B(E)), 2019, pp. No Pagination Specified.",,Dissertation Abstracts International,"Hearing impairment is becoming a prevalent health problem affecting 5% of world adult populations. Hearing aids and cochlear implant already play an essential role in helping patients over decades, but there are still several open problems that prevent them from providing the maximum benefits. Financial and discomfort reasons lead to only one of four patients choose to use hearing aids; Cochlear implant users always have trouble in understanding speech in a noisy environment. In this dissertation, we addressed the hearing aids limitations by proposing a new hearing aid signal processing system named Open-source Self-fitting Hearing Aids System (OS SF hearing aids). The proposed hearing aids system adopted the state-of-art digital signal processing technologies, combined with accurate hearing assessment and machine learning based self-fitting algorithm to further improve the speech perception and comfort for hearing aids users. Informal testing with hearing-impaired listeners showed that the testing results from the proposed system had less than 10 dB (by average) difference when compared with those results obtained from clinical audiometer. In addition, Sixteen-channel filter banks with adaptive differential microphone array provides up to six-dB SNR improvement in the noisy environment. Machine-learning based self-fitting algorithm provides more suitable hearing aids settings. To maximize cochlear implant users' speech understanding in noise, the sequential (S) and parallel (P) coding strategies were proposed by integrating high-rate desynchronized pulse trains (DPT) in the continuous interleaved sampling (CIS) strategy. Ten participants with severe hearing loss participated in the two rounds cochlear implants testing. The testing results showed CIS-DPT-S strategy significantly improved (11%) the speech perception in background noise, while the CIS-DPT-P strategy had a significant improvement in both quiet (7%) and noisy (9%) environment. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Dissertation Abstracts International: Section B: The Sciences and Engineering,80,5-B(E),No Pagination Specified,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc18&AN=2019-23495-090
26,Ovid Technologies,APA PsycInfo,2018-31046-001,Verbal learning and memory in prelingually deaf children with cochlear implants. [References].,Oct 2018,2018,"Accepted: May 2018

Revised: May 2018

First Submitted: Aug 2017.","Kronenberger, William G

Henning, Shirley C

Ditmars, Allison M

Roman, Adrienne S

Pisoni, David B","Kronenberger, William G.: wkronenb@iupui.edu","International Journal of Audiology. Vol.57,(10), 2018, pp. 746-754.",Oct,,"Objective: Deaf children with cochlear implants (CIs) show poorer verbal working memory compared to normal-hearing (NH) peers, but little is known about their verbal learning and memory (VLM) processes involving multi-trial free recall. Design: Children with CIs were compared to NH peers using the California Verbal Learning Test for Children (CVLT-C). Study sample: Participants were 21 deaf (before age 6 months) children (6-16 years old) implanted prior to age 3 years, and 21 age-IQ matched NH peers. Results: Results revealed no differences between groups in number of words recalled. However, CI users showed a pattern of increasing use of serial clustering strategies across learning trials, whereas NH peers decreased their use of serial clustering strategies. In the CI sample (but not in the NH sample), verbal working memory test scores were related to resistance to the build-up of proactive interference, and sentence recognition was associated with performance on the first exposure to the word list and to the use of recency recall strategies. Conclusions: Children with CIs showed robust evidence of VLM comparable to NH peers. However, their VLM processing (especially recency and proactive interference) was related to speech perception outcomes and verbal WM in different ways from NH peers. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","HOLDER: British Society of Audiology, International Society of Audiology, and Nordic Audiological Society
YEAR: 2018",International Journal of Audiology,57,10,746-754,Click here for full text options,SFX,,"Informa Healthcare, US",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc17&DO=10.1080%2f14992027.2018.1481538
27,Ovid Technologies,APA PsycInfo,2018-09133-026,Improving Pure-Tone Audiometry Using Probabilistic Machine Learning Classification.DP  - 2018,,2018,,"Song, Xinyu",,"Dissertation Abstracts International: Section B: The Sciences and Engineering. Vol.79,(3-B(E)), 2018, pp. No Pagination Specified.",,Dissertation Abstracts International,"Hearing loss is a critical public health concern, affecting hundreds millions of people worldwide and dramatically impacting quality of life for affected individuals. While treatment techniques have evolved in recent years, methods for assessing hearing ability have remained relatively unchanged for decades. The standard clinical procedure is the modified Hughson-Westlake procedure, an adaptive pure-tone detection task that is typically performed manually by audiologists, costing millions of collective hours annually among healthcare professionals. In addition to the high burden of labor, the technique provides limited detail about an individual's hearing ability, estimating only detection thresholds at a handful of pre-defined pure-tone frequencies (a threshold audiogram). An efficient technique that produces a detailed estimate of the audiometric function, including threshold and spread, could allow for better characterization of particular hearing pathologies and provide more diagnostic value. Parametric techniques exist to efficiently estimate multidimensional psychometric functions, but are ill-suited for estimation of audiometric functions because these functions cannot be easily parameterized. The Gaussian process is a compelling machine learning technique for inference of nonparametric multidimensional functions using binary data. The work described in this thesis utilizes Gaussian process classification to build an automated framework for efficient, high-resolution estimation of the full audiometric function, which we call the machine learning audiogram (MLAG). This Bayesian technique iteratively computes a posterior distribution describing its current belief about detection probability given the current set of observed pure tones and detection responses. The posterior distribution can be used to provide a current point estimate of the psychometric function as well as to select an informative query point for the next stimulus to be provided to the listener. The Gaussian process covariance function encodes correlations between variables, reflecting prior beliefs on the system; MLAG uses a composite linear/squared exponential covariance function that enforces monotonicity with respect to intensity but only smoothness with respect to frequency for the audiometric function. This framework was initially evaluated in human subjects for threshold audiogram estimation. 2 repetitions of MLAG and 1 repetition of manual clinical audiometry were conducted in each of 21 participants. Results indicated that MLAG both agreed with clinical estimates and exhibited test-retest reliability to within accepted clinical standards, but with significantly fewer tone deliveries required compared to clinical methods while also providing an effectively continuous threshold estimate along frequency. This framework's ability to evaluate full psychometric functions was then evaluated using simulated experiments. As a feasibility check, performance for estimating unidimensional psychometric functions was assessed and directly compared to inference using standard maximum-likelihood probit regression; results indicated that the two methods exhibited near identical performance for estimating threshold and spread. MLAG was then used to estimate 2-dimensional audiometric functions constructed using existing audiogram phenotypes. Results showed that this framework could estimate both threshold and spread of the full audiometric function with high accuracy and reliability given a sufficient sample count; non-active sampling using the Halton set required between 50--100 queries to reach clinical reliability, while active sampling strategies reduced the required number to around 20--30, with Bayesian active leaning by disagreement exhibiting the best performance of the tested methods. Overall, MLAG's accuracy, reliability, and high degree of detail make it a promising... (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Dissertation Abstracts International: Section B: The Sciences and Engineering,79,3-B(E),No Pagination Specified,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc17&AN=2018-09133-026
28,Ovid Technologies,APA PsycInfo,2018-07642-008,Pure tone hearing profiles in children with otitis media with effusion. [References].,May 2018,2018,"Accepted: Jan 2017

Revised: Jan 2017

First Submitted: Sep 2016.","Cai, Ting

McPherson, Bradley

Li, Caiwei

Yang, Feng","Cai, Ting: caiting13579@gmail.com","Disability and Rehabilitation: An International, Multidisciplinary Journal. Vol.40,(10), 2018, pp. 1166-1175.",May,,"Introduction: Otitis media with effusion (OME) is a common middle ear disease in children. The associated conductive hearing loss is a major concern for hearing health professionals. The aim of the present study was to describe the configuration of pure tone audiograms of children with OME and to design a statistical stratification algorithm to facilitate hearing loss profiling in children with OME. Methods: School age children with OME were recruited. Bone and air conduction thresholds were obtained using standard procedures. Hierarchical cluster analysis was employed to determine audiometric profile groups. The Mandarin Hearing in Noise Test was used to measure sentence perception in children for cluster analysis validity assessment. Results: Ninety-seven children (164 ears) aged between 72 months and 153 months were examined. Air conduction thresholds averaged for 500 Hz, 1000 Hz and 2000 Hz were in the range of 8.3-53.3 dB HL with a mean of 26.8 dB HL. Bone conduction thresholds were found to be influenced by middle ear pathology with a maximal elevation at 2000 Hz of 25 dB HL. Four audiometric profiles were identified. Cluster 1 contained 54 ears (32.9%) with normal or near normal hearing, Clusters 2 contained 37 ears (22.6%) with mild hearing loss, Cluster 3 included 48 ears (29.3%) and Cluster 4 included 25 ears (15.2%) with moderate hearing loss. Stability and validity of the four-cluster profiling procedure was examined and established with satisfactory results. Conclusions: OME in children is associated with pure tone hearing thresholds ranging from normal to moderate hearing loss. The hierarchical clustering algorithm proved useful as a novel means of profiling hearing loss in children with OME and may assist in identifying affected children at greater risk of auditory disadvantage. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: Informa UK Limited, trading as Taylor & Francis Group
YEAR: 2017","Disability and Rehabilitation: An International, Multidisciplinary Journal",40,10,1166-1175,Click here for full text options,SFX,,"Informa Healthcare, US",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc17&DO=10.1080%2f09638288.2017.1290698
29,Ovid Technologies,APA PsycInfo,2018-07720-018,"An exploration of the associations among hearing loss, physical health, and visual memory in adults from west Central Alabama. [References].",Aug 2017,2017,"Accepted: Mar 2017

Revised: Jan 2017

First Submitted: Sep 2016.","Hay-McCutcheon, Marcia J

Hyams, Adriana

Yang, Xin

Parton, Jason

Panasiuk, Brianna

Ondocsin, Sarah

James, Mary Margaret

Scogin, Forrest","Hay-McCutcheon, Marcia J.: mhaymccu@ua.edu","Journal of Speech, Language, and Hearing Research. Vol.60,(8), 2017, pp. 2346-2359.",Aug,Journal of Speech & Hearing Research,"Purpose: The purpose of this preliminary study was to explore the associations among hearing loss, physical health, and visual memory in adults living in rural areas, urban clusters, and an urban city in west Central Alabama. Method: Two hundred ninety-seven adults (182 women, 115 men) from rural areas, urban clusters, and an urban city of west Central Alabama completed a hearing assessment, a physical health questionnaire, a hearing handicap measure, and a visual memory test. Results: A greater number of adults with hearing loss lived in rural areas and urban clusters than in an urban area. In addition, poorer physical health was significantly associated with hearing loss. A greater number of individuals with poor physical health who lived in rural towns and urban clusters had hearing loss compared with the adults with other physical health issues who lived in an urban city. Poorer hearing sensitivity resulted in poorer outcomes on the Emotional and Social subscales of the Hearing Handicap Inventory for Adults. And last, visual memory, a working-memory task, was not associated with hearing loss but was associated with educational level. Conclusions: The outcomes suggest that hearing loss is associated with poor physical and emotional health but not with visual-memory skills. A greater number of adults living in rural areas experienced hearing loss compared with adults living in an urban city, and consequently, further research will be necessary to confirm this relationship and to explore the reasons behind it. Also, further exploration of the relationship between cognition and hearing loss in adults living in rural and urban areas will be needed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: American Speech-Language-Hearing Association
YEAR: 2017","Journal of Speech, Language, and Hearing Research",60,8,2346-2359,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc16&DO=10.1044%2f2017_JSLHR-H-16-0369
30,Ovid Technologies,APA PsycInfo,2017-09036-012,"An analysis of current source density profiles activated by local stimulation in the mouse auditory cortex in vitro.DP  - Mar 15, 2017",,2017,"First Posting: Jan 2017

Accepted: Jan 2017

Revised: Jan 2017

First Submitted: Oct 2016.","Yamamura, Daiki

Sano, Ayaka

Tateno, Takashi","Yamamura, Daiki: Yamamura_Daiki@ist.hokudai.ac.jp; Tateno, Takashi: tateno@ist.hokudai.ac.jp","Brain Research. Vol.1659, 2017, pp. 96-112.",Mar,,"To examine local network properties of the mouse auditory cortex in vitro, we recorded extracellular spatiotemporal laminar profiles driven by short electric local stimulation on a planar multielectrode array substrate. The recorded local field potentials were subsequently evaluated using current source density (CSD) analysis to identify sources and sinks. Current sinks are thought to be an indicator of net synaptic current in the small volume of cortex surrounding the recording site. Thus, CSD analysis combined with multielectrode arrays enabled us to compare mean synaptic activity in response to small current stimuli on a layer-by-layer basis. We also used senescence-accelerated mice (SAM), some strains of which show earlier onset of age-related hearing loss, to examine the characteristic spatiotemporal CSD profiles stimulated by electrodes in specific cortical layers. Thus, the CSD patterns were classified into several clusters based on stimulation sites in the cortical layers. We also found some differences in CSD patterns between the two SAM strains in terms of aging according to principle component analysis with dimension reduction. For simultaneous two-site stimulation, we modeled the obtained CSD profiles as a linear superposition of the CSD profiles to individual single-site stimulation. The model analysis indicated the nonlinearity of spatiotemporal integration over stimulus-driven activity in a layer-specific manner. Finally, on the basis of these results, we discuss the auditory cortex local network properties and the effects of aging on these mouse strains. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: Elsevier B.V.
YEAR: 2017",Brain Research,1659,,96-112,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc16&DO=10.1016%2fj.brainres.2017.01.021
31,Ovid Technologies,APA PsycInfo,2016-22395-016,Disrupted functional brain connectome in unilateral sudden sensorineural hearing loss. [References].,May 2016,2016,"First Posting: Mar 2016

Accepted: Feb 2016

Revised: Feb 2016

First Submitted: Sep 2015.","Xu, Haibo

Fan, Wenliang

Zhao, Xueyan

Li, Jing

Zhang, Wenjuan

Lei, Ping

Liu, Yuan

Wang, Haha

Cheng, Huamao

Shi, Hong","Xu, Haibo: xuhaibo1120@hotmail.com; Fan, Wenliang: fanwenliang168@163.com; Zhao, Xueyan: yaner_323@126.com; Li, Jing: lijing80603@163.com; Zhang, Wenjuan: juan_364@163.com; Lei, Ping: leiping_rosemary@126.com; Liu, Yuan: 309105825@qq.com; Wang, Haha: ahahwang@163.com; Cheng, Huamao: chhmao@aliyun.com; Shi, Hong: shihong5510@163.com","Hearing Research. Vol.335, 2016, pp. 138-148.",May,,"Sudden sensorineural hearing loss (SSNHL) is generally defined as sensorineural hearing loss of 30 dB or greater over at least three contiguous audiometric frequencies and within a three-day period. This hearing loss is usually unilateral and can be associated with tinnitus and vertigo. The pathogenesis of unilateral sudden sensorineural hearing loss is still unknown, and the alterations in the functional connectivity are suspected to involve one possible pathogenesis. Despite scarce findings with respect to alterations in brain functional networks in unilateral sudden sensorineural hearing loss, the alterations of the whole brain functional connectome and whether these alterations were already in existence in the acute period remains unknown. The aim of this study was to investigate the alterations of brain functional connectome in two large samples of unilateral sudden sensorineural hearing loss patients and to investigate the correlation between unilateral sudden sensorineural hearing loss characteristics and changes in the functional network properties. Pure tone audiometry was performed to assess hearing ability. Abnormal changes in the peripheral auditory system were examined using conventional magnetic resonance imaging. The graph theoretical network analysis method was used to detect brain connectome alterations in unilateral sudden sensorineural hearing loss. Compared with the control groups, both groups of unilateral SSNHL patients exhibited a significantly increased clustering coefficient, global efficiency, and local efficiency but a significantly decreased characteristic path length. In addition, the primary increased nodal strength (e.g., nodal betweenness, hubs) was observed in several regions primarily, including the limbic and paralimbic systems, and in the auditory network brain areas. These findings suggest that the alteration of network organization already exists in unilateral sudden sensorineural hearing loss patients within the acute period and that the functional connectome of unilateral SSNHL patients is characterized by a shift toward small-worldization. Additionally, we hope that these findings will help to elucidate unilateral SSNHL through a new research perspective and provide insight for the potential pathophysiology of unilateral SSNHL. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: Elsevier B.V.
YEAR: 2016",Hearing Research,335,,138-148,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc15&DO=10.1016%2fj.heares.2016.02.016
32,Ovid Technologies,APA PsycInfo,2016-07754-001,Linguistic profiles of children with CI as compared with children with hearing or specific language impairment. [References].,Sep-Oct 2016,2016,,"de Hoog, Brigitte E

Langereis, Margreet C

van Weerdenburg, Marjolijn

Knoors, Harry E. T

Verhoeven, Ludo","de Hoog, Brigitte E.: b.dehoog@pwo.ru.nl","International Journal of Language & Communication Disorders. Vol.51,(5), 2016, pp. 518-530.",Sep-Oct,"British Journal of Disorders of Communication, European Journal of Disorders of Communication","Background: The spoken language difficulties of children with moderate or severe to profound hearing loss are mainly related to limited auditory speech perception. However, degraded or filtered auditory input as evidenced in children with cochlear implants (CIs) may result in less efficient or slower language processing as well. To provide insight into the underlying nature of the spoken language difficulties in children with CIs, linguistic profiles of children with CIs are compared with those of hard-of-hearing (HoH) children with conventional hearing aids and children with specific language impairment (SLI). Aims: To examine differences in linguistic abilities and profiles of children with CIs as compared with HoH children and children with SLI, and whether the spoken language difficulties of children with CIs mainly lie in limited auditory perception or in language processing problems. Methods & Procedure: Differences in linguistic abilities and differential linguistic profiles of 47 children with CI, 66 HoH children with moderate to severe hearing loss, and 127 children with SLI are compared, divided into two age cohorts. Standardized Dutch tests were administered. Factor analyses and cluster analyses were conducted to find homogeneous linguistic profiles of the children. Outcomes & Results: The children with CIs were outperformed by their HoH peers and peers with SLI on most linguistic abilities. Concerning the linguistic profiles, the largest group of children with CIs and HoH children shared similar profiles. The profiles observed for most of the children with SLI were different from those of their peers with hearing loss in both age cohorts. Conclusions & Implications: Results suggest that the underlying nature of spoken language problems in most children with CIs manifests in limited auditory perception instead of language processing difficulties. However, there appears to be a subgroup of children with CIs whose linguistic profiles resemble those of children with SLI. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: Royal College of Speech and Language Therapists
YEAR: 2016",International Journal of Language & Communication Disorders,51,5,518-530,Click here for full text options,SFX,,"Informa Healthcare, US; Taylor & Francis, United Kingdom",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc15&DO=10.1111%2f1460-6984.12228
33,Ovid Technologies,APA PsycInfo,2015-59073-003,Thin-film micro-electrode stimulation of the cochlea in rats exposed to aminoglycoside induced hearing loss. [References].,Jan 2016,2016,"First Posting: Oct 2015

Accepted: Oct 2015

Revised: Sep 2015

First Submitted: Mar 2015.","Allitt, B. J

Harris, A. R

Morgan, S. J

Clark, G. M

Paolini, A. G","Allitt, B. J.: ben.allitt@monash.edu","Hearing Research. Vol.331, 2016, pp. 13-26.",Jan,,"The multi-channel cochlear implant (CI) provides sound and speech perception to thousands of individuals who would otherwise be deaf. Broad activation of auditory nerve fibres when using a CI results in poor frequency discrimination. The CI also provides users with poor amplitude perception due to elicitation of a narrow dynamic range. Provision of more discrete frequency perception and a greater control over amplitude may allow users to better distinguish speech in noise and to segregate sound sources. In this research, thin-film (TF) high density micro-electrode arrays and conventional platinum ring electrode arrays were used to stimulate the cochlea of rats administered sensorineural hearing loss (SNHL) via ototoxic insult, with neural responses taken at 434 multiunit clusters in the central nucleus of the inferior colliculus (CIC). Threshold, dynamic range and broadness of response were used to compare electrode arrays. A stronger current was required to elicit CIC threshold when using the TF array compared to the platinum ring electrode array. TF stimulation also elicited a narrower dynamic range than the PR counterpart. However, monopolar stimulation using the TF array produced more localised CIC responses than other stimulation strategies. These results suggest that individuals with SNHL could benefit from micro stimulation of the cochlea using a monopolar configuration which may provide discrete frequency perception when using TF electrode arrays. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: Elsevier B.V.
YEAR: 2015",Hearing Research,331,,13-26,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc15&DO=10.1016%2fj.heares.2015.10.003
34,Ovid Technologies,APA PsycInfo,2015-99020-424,Beyond audiometric phenotype: Toward a differential diagnosis for presbycusis.DP  - 2015,,2015,,"Baiduc, Rachael R",,"Dissertation Abstracts International: Section B: The Sciences and Engineering. Vol.75,(7-B(E)), 2015, pp. No Pagination Specified.",,Dissertation Abstracts International,"Age-related hearing loss (ARHL; presbycusis) results from degeneration of neural and/or cochlear structures. A taxonomy distinguishing presbycusis subtypes according to site of lesion was originally proposed by linking audiometric results to histopathological findings. In most cases, the pathology is complex and audiometry and word recognition scores (WRS) are insufficient to identify the location(s) of pathologies along the auditory pathway, often referred to as the site(s) of lesion. Several sophisticated tests of auditory function, with some specifically designed to inspect cochlear or neural status (e.g., distortion product otoacoustic emissions [DPOAEs] and the auditory brainstem response [ABR]) are available today but not in routine use to distinguish between presbycutic subtypes. Because there is no pre-mortem method in place to identify contributing pathologies and their relative dominance in individual cases of presbycusis, the goal of the present study is to improve differential diagnosis in the hope of providing individualized therapeutics for those suffering ARHL. In order to determine candidacy and dosing for these treatments, specific diagnoses will become crucial. This dissertation thus systematically explores an extensive test battery composed of behavioral (audiometry and speech testing) and physiological (ABR, DPOAEs, and electrocochleography) assays of auditory function in presbycutic ears. We compare these responses to data from normal hearing subjects who serve as a reference group. Quadratic (f2-f 1) DPOAEs are incorporated as a potential means of gaining supplementary information regarding cochlear function. As f2-f1 DPOAEs have not been studied extensively, our initial experiments were focused on determining optimal stimulus parameters to elicit them. Results show narrow stimulus frequency ratios (1.14) and moderately high stimulus levels (70 dB SPL) are ideal. We initially set out to uncover a method of diagnosis for ARHL that improves upon the ""gold standard"" (audiometry and WRS). Two analytical strategies (principal component and hierarchical cluster analyses) were used to evaluate various phenotyping strategies. The results provide a potential solution, revealing the feasibility of a much more detailed diagnosis of presbycusis subtypes even in this limited data set. In the future, these phenotyping techniques should be applied on an epidemiological scale and ultimately, might inform appropriate treatment methodologies for each presbycusis subtype. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Dissertation Abstracts International: Section B: The Sciences and Engineering,75,7-B(E),No Pagination Specified,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc14&AN=2015-99020-424
35,Ovid Technologies,APA PsycInfo,2015-41162-001,Mental health problems in adolescents with cochlear implants: Peer problems persist after controlling for additional handicaps. [References].,"Jul 15, 2015",2015,,"Huber, Maria

Burger, Thorsten

Illg, Angelika

Kunze, Silke

Giourgas, Alexandros

Braun, Ludwig

Kroger, Stefanie

Nickisch, Andreas

Rasp, Gerhard

Becker, Andreas

Keilmann, Annerose","Huber, Maria: m.huber@salk.at","Frontiers in Psychology. Vol.6, 2015, ArtID 953.",Jul,,"The aims of the present multi-center study were to investigate the extent of mental health problems in adolescents with a hearing loss and cochlear implants (CIs) in comparison to normal hearing (NH) peers and to investigate possible relations between the extent of mental health problems of young CI users and hearing variables, such as age at implantation, or functional gain of CI. The survey included 140 adolescents with CI (mean age = 14.7, SD = 1.5 years) and 140 NH adolescents (mean age = 14.8, SD = 1.4 years), their parents and teachers. Participants were matched by age, gender and social background. Within the CI group, 35 adolescents were identified as ""risk cases"" due to possible and manifest additional handicaps, and 11 adolescents were non-classifiable. Mental health problems were assessed with the Strengths and Difficulties Questionnaire (SDQ) in the versions ""Self,"" ""Parent,"" and ""Teacher."" The CI group showed significantly more ""Peer Problems"" than the NH group. When the CI group was split into a ""risk-group"" (35 ""risk cases"" and 11 non-classifiable persons) and a ""non-risk group"" (n = 94), increased peer problems were perceived in both CI subgroups by adolescents themselves. However, no further differences between the CI non-risk group and the NH group were observed in any rater. The CI risk-group showed significantly more hyperactivity compared to the NH group and more hyperactivity and conduct problems compared to the CI non-risk group. Cluster analyses confirmed that there were significantly more adolescents with high problems in the CI risk-group compared to the CI non-risk group and the NH group. Adolescents with CI, who were able to understand speech in noise had significantly less difficulties compared to constricted CI users. Parents, teachers, and clinicians should be aware that CI users with additionally special needs may have mental health problems. However, peer problems were also experienced by CI adolescents without additional handicaps. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) or licensor are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.
HOLDER: Huber, Burger, Illg, Kunze, Giourgas, Braun, Kroger, Nickisch, Rasp, Becker and Keilmann
YEAR: 2015",Frontiers in Psychology,6,,,Click here for full text options,SFX,13,"Frontiers Research Foundation, Switzerland",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc14&DO=10.3389%2ffpsyg.2015.00953
36,Ovid Technologies,APA PsycInfo,2014-99040-380,Effects of unilateral and bilateral cochlear implantation on cortical activity measured by an eeg neuroimaging method in children.DP  - 2014,,2014,,"Wong, Daniel Davis Eugene",,"Dissertation Abstracts International: Section B: The Sciences and Engineering. Vol.74,(8-B(E)), 2014, pp. No Pagination Specified.",,Dissertation Abstracts International,"Bilateral implantation of a cochlear implant (CI) after a >2 year period of unilateral hearing with a second implant has been shown to result in altered latencies in brainstem responses in children with congenital deafness. In this thesis, a neural source localization method was developed to investigate the effects of unilateral CI use on cortical development after the implantation of a 2nd CI. The electroencephalography (EEG) source localization method is based on the linearly constrained minimum variance (LCMV) vector beamformer and utilizes null constraints to minimize the electrical artifact produced by the CI. The accuracy of the method was assessed and optimized through simulations and comparisons to beamforming with magnetoencephalography (MEG) data. After using cluster analyses to ensure that sources compared across subjects originate from the same neural generators, a study was done to examine the effects of unilateral CI hearing on hemispheric lateralization to monaural responses. It was found that a >2 year period of unilateral hearing results in expanded projections from the 1st implanted ear to the contralateral auditory area that is not reversed by implantation of a 2nd CI. A subsequent study was performed to examine the effects of unilateral CI hearing on the contributions of the 1st and 2nd implanted ears to the binaural response. It was found that in children with > 2 years of unilateral hearing, the binaural response is dominated by the 1st implanted ear. Together, these results suggest that the delay between the 1st and 2 nd CI should be minimized in bilateral implantation to avoid dominance of auditory pathways from the 1st implanted ear. This dominance limits developmental competition from the 2nd CI and potentially contributes to poorer performance in speech detection in noise tasks. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Dissertation Abstracts International: Section B: The Sciences and Engineering,74,8-B(E),No Pagination Specified,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc13&AN=2014-99040-380
