author,title,abstract,date,search_term
Hamilton Lab at UT Austin,audiometry,"# audiometry
Python scripts for plotting audiograms and related data from [Interacoustics Equinox 2.0 audiometer](https://www.interacoustics.com/us/audiometry/clinical/equinox) and [Otoaccess software](https://www.interacoustics.com/us/otoaccess). Maybe similar scripts exist, but I haven't found them and wrote one myself. 

To run, this assumes you have a directory with .xml files that were exported from the Otoaccess software. 
Ours are named `[subj_id]_[date]_audiometry.xml`. If you name them this way, the function `main()` will show the subject ID as the title of each subplot.

The function `parse_audiometry()` takes in an xml file and outputs a dictionary `audiogram` that is organized by ear ('Left' and 'Right'). Each side contains another dictionary with the frequency of pure tones played and the measured thresholds in dB HL. For example:

``` 
>>> from audiometry import parse_audiometry
>>> audiogram = parse_audiometry('/path/to/subjid_20211101_audiometry.xml')
>>> print(audiogram)
{'Left': {250: 15, 500: 20, 1000: 10, 2000: 5, 4000: 5, 8000: 5},
 'Right': {250: 15, 500: 15, 1000: 10, 2000: 10, 4000: 10, 8000: 0}}
```

To plot this, you can use the function `plot_audiogram()`:

```
>>> from audiometry import plot_audiogram, parse_audiometry
>>> from matplotlib import pyplot as plt
>>> plt.ion()
>>> audiogram = parse_audiometry('/path/to/subjid_20211101_audiometry.xml')
>>> fig = plt.figure(1)
>>> plot_audiogram(audiogram, fig=fig, banana='Both', classification=True)
>>> plt.title('subj_id')
>>> plt.savefig('Example_audiogram.png')
>>> plt.show()
```

![](Example_audiogram.png)

## Quick Start ##

You can also just do this to get audiograms for all files in a directory. Might look ugly, YMMV. Assumes you have all your `*.xml` files in a directory called `/path/to/audiograms`.

```
>>> import audiometry
>>> from matplotlib import pyplot as plt
>>> plt.ion()
>>> audiometry.main('/path/to/audiograms')
```

## In progress ##

Getting out QuickSIN data in addition to pure tone data is in progress but not yet implemented. 

Email Liberty Hamilton (liberty.hamilton@austin.utexas.edu) with any questions. ",2023,audiometry
https://github.com/S1ddh4rthaG/DhwaniSarathi/commits?author=S1ddh4rthaG,Dhwani Sarathi,"# Dhwani Sarathi

### SiH 1403 : App-Based Audiometer
### Problem Statement:

>To know a person's Hearing Loss, generally we use a Pure Tone Audiometer. To use this it requires a bulk of the instrument to be carried. This testing requires a considerable amount of time for testing. It was observed that a large level of hearing testing, it is consuming much time. So a hand-held Mobile phone operated APP BASED AUDIOMETER will be of immense useful in finding and detecting hearing loss in children in schools

### Motivation:
Introducing an app-based audiometer for school screenings revolutionizes the way we detect and address hearing loss in children. This mobile phone-operated solution offers unparalleled accessibility, convenience, and cost-effectiveness, drastically reducing testing time while ensuring early detection. By leveraging modern technology, this app empowers healthcare providers, educators, and parents to swiftly identify potential hearing issues, enabling timely intervention and fostering better academic and social outcomes for children.

### Features of App
- Pure Tone Audiometry Test
- Results, Analysis, and Interpretation of Test
- Classroom Based management system with Analytics
- Connect to the Nearest Doctor
- Digitization of physical audiometry documents
- and many more...

### Tech Stack
- React Native
- Django

## Screenshots
<h3>Authentication</h3>
<p>
 <img src=""Screenshots/Login.jpeg"" width=""245"">&emsp;
 <img src=""Screenshots/Signup.jpeg"" width=""245"">&emsp;
  <img src=""Screenshots/StartTest.jpeg"" width=""245"">&emsp;
</p>

<p>
<h3>User View</h3>
 <img src=""Screenshots/userScreens.png"" >&emsp;
</p>

<h3>Preliminary Checks</h3>
<p>
 <img src=""Screenshots/preliminaryCheck1.png"" width=""230"">&emsp;
 <img src=""Screenshots/NoiseDetection.jpeg"" width=""230"">&emsp;
 <img src=""Screenshots/Headphone Orientation.jpeg"" width=""230"">&emsp;
 <img src=""Screenshots/obstacle_detection.png"" width=""230"">&emsp;
</p>

<h3>Test</h3>
<p>
 <img src=""Screenshots/Test_audiometer.png"">&emsp;
</p>

<h3>Results</h3>
<p>
 <img src=""Screenshots/Results.png"">&emsp;
 <br>
 <img src=""Screenshots/Results_audiometer.png"">&emsp;
</p>

<h3>Teacher View</h3>
<p>
 <img src=""Screenshots/Teacher Profile Page.jpeg"" width=""245"">&emsp;
 <img src=""Screenshots/Assignments2.jpeg"" width=""245"">&emsp;
</p>

<p>
<h3>Analytics</h3>
 <img src=""Screenshots/analytics_audiometer.png"">&emsp;
</p>

## Getting Started
### Firebase
- Create a Firebase account
- Add the firebase config in FirebaseConfig.js in audiometer/
  
### Frontend
- Clone the repository
- Run the below commands:

```shell
cd audiometer
npm install
npm run web
```
- Change **ip** value to address in the command line in the file audiometer/app/Constants/ip.js

### Backend
- Run the below commands:
```shell
cd server 
```
- Create Virtual Environment
  
You can use multiple methods to create a virtual environment, whatever suits your need

##### Conda
```shell
conda create -n venv python=3.6.3 anaconda
conda activate venv
```
#### Virtualenv

##### Windows
```shell
python -m venv venv   
.\venv\Scripts\Activate
```

##### Linux
```shell
python3 -m venv venv 
source venv/bin/activate
```

- Install the requirements and run server
```shell
pip install -r requirements.txt
#Intialize DB data/Create Models in DB
python manage.py makemigrations
python manage.py migrate

cd backend
python manage.py runserver <ip_address>:80/<ip_address>:8081 

#Here <ip_address> is the IP address on which the expo is running
```
## Team
<p>
    <img src=""Screenshots/Hackathon.jpeg"" >&emsp;
</p>
<p>
    <img src=""Screenshots/winners.jpeg"">&emsp;
    </p>

**Team Members** 

- Sachin Kumar Sahu
- Palivela Ganesh Priyatham
- Preethi Varsha Marivina
- Siddhartha G
- Swami Ramchandra Kedari
- Sirish Sekhar

### References
- Charih, François, and James R. Green. ""Audiogram Digitization Tool for Audiological Reports."" IEEE Access 10 (2022): 110761-110769.
- [Machine Learning in Audiology: Applications and Implications](https://repository.library.carleton.ca/concern/etds/gt54kp02t).
# Dhwani Sarathi

### SiH 1403 : App-Based Audiometer
### Problem Statement:

>To know a person's Hearing Loss, generally we use a Pure Tone Audiometer. To use this it requires a bulk of the instrument to be carried. This testing requires a considerable amount of time for testing. It was observed that a large level of hearing testing, it is consuming much time. So a hand-held Mobile phone operated APP BASED AUDIOMETER will be of immense useful in finding and detecting hearing loss in children in schools

### Motivation:
Introducing an app-based audiometer for school screenings revolutionizes the way we detect and address hearing loss in children. This mobile phone-operated solution offers unparalleled accessibility, convenience, and cost-effectiveness, drastically reducing testing time while ensuring early detection. By leveraging modern technology, this app empowers healthcare providers, educators, and parents to swiftly identify potential hearing issues, enabling timely intervention and fostering better academic and social outcomes for children.

### Features of App
- Pure Tone Audiometry Test
- Results, Analysis, and Interpretation of Test
- Classroom Based management system with Analytics
- Connect to the Nearest Doctor
- Digitization of physical audiometry documents
- and many more...

### Tech Stack
- React Native
- Django

## Screenshots
<h3>Authentication</h3>
<p>
 <img src=""Screenshots/Login.jpeg"" width=""245"">&emsp;
 <img src=""Screenshots/Signup.jpeg"" width=""245"">&emsp;
  <img src=""Screenshots/StartTest.jpeg"" width=""245"">&emsp;
</p>

<p>
<h3>User View</h3>
 <img src=""Screenshots/userScreens.png"" >&emsp;
</p>

<h3>Preliminary Checks</h3>
<p>
 <img src=""Screenshots/preliminaryCheck1.png"" width=""230"">&emsp;
 <img src=""Screenshots/NoiseDetection.jpeg"" width=""230"">&emsp;
 <img src=""Screenshots/Headphone Orientation.jpeg"" width=""230"">&emsp;
 <img src=""Screenshots/obstacle_detection.png"" width=""230"">&emsp;
</p>

<h3>Test</h3>
<p>
 <img src=""Screenshots/Test_audiometer.png"">&emsp;
</p>

<h3>Results</h3>
<p>
 <img src=""Screenshots/Results.png"">&emsp;
 <br>
 <img src=""Screenshots/Results_audiometer.png"">&emsp;
</p>

<h3>Teacher View</h3>
<p>
 <img src=""Screenshots/Teacher Profile Page.jpeg"" width=""245"">&emsp;
 <img src=""Screenshots/Assignments2.jpeg"" width=""245"">&emsp;
</p>

<p>
<h3>Analytics</h3>
 <img src=""Screenshots/analytics_audiometer.png"">&emsp;
</p>

## Getting Started
### Firebase
- Create a Firebase account
- Add the firebase config in FirebaseConfig.js in audiometer/
  
### Frontend
- Clone the repository
- Run the below commands:

```shell
cd audiometer
npm install
npm run web
```
- Change **ip** value to address in the command line in the file audiometer/app/Constants/ip.js

### Backend
- Run the below commands:
```shell
cd server 
```
- Create Virtual Environment
  
You can use multiple methods to create a virtual environment, whatever suits your need

##### Conda
```shell
conda create -n venv python=3.6.3 anaconda
conda activate venv
```
#### Virtualenv

##### Windows
```shell
python -m venv venv   
.\venv\Scripts\Activate
```

##### Linux
```shell
python3 -m venv venv 
source venv/bin/activate
```

- Install the requirements and run server
```shell
pip install -r requirements.txt
#Intialize DB data/Create Models in DB
python manage.py makemigrations
python manage.py migrate

cd backend
python manage.py runserver <ip_address>:80/<ip_address>:8081 

#Here <ip_address> is the IP address on which the expo is running
```
## Team
<p>
    <img src=""Screenshots/Hackathon.jpeg"" >&emsp;
</p>
<p>
    <img src=""Screenshots/winners.jpeg"">&emsp;
    </p>

**Team Members** 

- Sachin Kumar Sahu
- Palivela Ganesh Priyatham
- Preethi Varsha Marivina
- Siddhartha G
- Swami Ramchandra Kedari
- Sirish Sekhar

### References
- Charih, François, and James R. Green. ""Audiogram Digitization Tool for Audiological Reports."" IEEE Access 10 (2022): 110761-110769.
- [Machine Learning in Audiology: Applications and Implications](https://repository.library.carleton.ca/concern/etds/gt54kp02t).
# Dhwani Sarathi

### SiH 1403 : App-Based Audiometer
### Problem Statement:

>To know a person's Hearing Loss, generally we use a Pure Tone Audiometer. To use this it requires a bulk of the instrument to be carried. This testing requires a considerable amount of time for testing. It was observed that a large level of hearing testing, it is consuming much time. So a hand-held Mobile phone operated APP BASED AUDIOMETER will be of immense useful in finding and detecting hearing loss in children in schools

### Motivation:
Introducing an app-based audiometer for school screenings revolutionizes the way we detect and address hearing loss in children. This mobile phone-operated solution offers unparalleled accessibility, convenience, and cost-effectiveness, drastically reducing testing time while ensuring early detection. By leveraging modern technology, this app empowers healthcare providers, educators, and parents to swiftly identify potential hearing issues, enabling timely intervention and fostering better academic and social outcomes for children.

### Features of App
- Pure Tone Audiometry Test
- Results, Analysis, and Interpretation of Test
- Classroom Based management system with Analytics
- Connect to the Nearest Doctor
- Digitization of physical audiometry documents
- and many more...

### Tech Stack
- React Native
- Django

## Screenshots
<h3>Authentication</h3>
<p>
 <img src=""Screenshots/Login.jpeg"" width=""245"">&emsp;
 <img src=""Screenshots/Signup.jpeg"" width=""245"">&emsp;
  <img src=""Screenshots/StartTest.jpeg"" width=""245"">&emsp;
</p>

<p>
<h3>User View</h3>
 <img src=""Screenshots/userScreens.png"" >&emsp;
</p>

<h3>Preliminary Checks</h3>
<p>
 <img src=""Screenshots/preliminaryCheck1.png"" width=""230"">&emsp;
 <img src=""Screenshots/NoiseDetection.jpeg"" width=""230"">&emsp;
 <img src=""Screenshots/Headphone Orientation.jpeg"" width=""230"">&emsp;
 <img src=""Screenshots/obstacle_detection.png"" width=""230"">&emsp;
</p>

<h3>Test</h3>
<p>
 <img src=""Screenshots/Test_audiometer.png"">&emsp;
</p>

<h3>Results</h3>
<p>
 <img src=""Screenshots/Results.png"">&emsp;
 <br>
 <img src=""Screenshots/Results_audiometer.png"">&emsp;
</p>

<h3>Teacher View</h3>
<p>
 <img src=""Screenshots/Teacher Profile Page.jpeg"" width=""245"">&emsp;
 <img src=""Screenshots/Assignments2.jpeg"" width=""245"">&emsp;
</p>

<p>
<h3>Analytics</h3>
 <img src=""Screenshots/analytics_audiometer.png"">&emsp;
</p>

## Getting Started
### Firebase
- Create a Firebase account
- Add the firebase config in FirebaseConfig.js in audiometer/
  
### Frontend
- Clone the repository
- Run the below commands:

```shell
cd audiometer
npm install
npm run web
```
- Change **ip** value to address in the command line in the file audiometer/app/Constants/ip.js

### Backend
- Run the below commands:
```shell
cd server 
```
- Create Virtual Environment
  
You can use multiple methods to create a virtual environment, whatever suits your need

##### Conda
```shell
conda create -n venv python=3.6.3 anaconda
conda activate venv
```
#### Virtualenv

##### Windows
```shell
python -m venv venv   
.\venv\Scripts\Activate
```

##### Linux
```shell
python3 -m venv venv 
source venv/bin/activate
```

- Install the requirements and run server
```shell
pip install -r requirements.txt
#Intialize DB data/Create Models in DB
python manage.py makemigrations
python manage.py migrate

cd backend
python manage.py runserver <ip_address>:80/<ip_address>:8081 

#Here <ip_address> is the IP address on which the expo is running
```
## Team
<p>
    <img src=""Screenshots/Hackathon.jpeg"" >&emsp;
</p>
<p>
    <img src=""Screenshots/winners.jpeg"">&emsp;
    </p>

**Team Members** 

- Sachin Kumar Sahu
- Palivela Ganesh Priyatham
- Preethi Varsha Marivina
- Siddhartha G
- Swami Ramchandra Kedari
- Sirish Sekhar

### References
- Charih, François, and James R. Green. ""Audiogram Digitization Tool for Audiological Reports."" IEEE Access 10 (2022): 110761-110769.
- [Machine Learning in Audiology: Applications and Implications](https://repository.library.carleton.ca/concern/etds/gt54kp02t).
# Dhwani Sarathi

### SiH 1403 : App-Based Audiometer
### Problem Statement:

>To know a person's Hearing Loss, generally we use a Pure Tone Audiometer. To use this it requires a bulk of the instrument to be carried. This testing requires a considerable amount of time for testing. It was observed that a large level of hearing testing, it is consuming much time. So a hand-held Mobile phone operated APP BASED AUDIOMETER will be of immense useful in finding and detecting hearing loss in children in schools

### Motivation:
Introducing an app-based audiometer for school screenings revolutionizes the way we detect and address hearing loss in children. This mobile phone-operated solution offers unparalleled accessibility, convenience, and cost-effectiveness, drastically reducing testing time while ensuring early detection. By leveraging modern technology, this app empowers healthcare providers, educators, and parents to swiftly identify potential hearing issues, enabling timely intervention and fostering better academic and social outcomes for children.

### Features of App
- Pure Tone Audiometry Test
- Results, Analysis, and Interpretation of Test
- Classroom Based management system with Analytics
- Connect to the Nearest Doctor
- Digitization of physical audiometry documents
- and many more...

### Tech Stack
- React Native
- Django

## Screenshots
<h3>Authentication</h3>
<p>
 <img src=""Screenshots/Login.jpeg"" width=""245"">&emsp;
 <img src=""Screenshots/Signup.jpeg"" width=""245"">&emsp;
  <img src=""Screenshots/StartTest.jpeg"" width=""245"">&emsp;
</p>

<p>
<h3>User View</h3>
 <img src=""Screenshots/userScreens.png"" >&emsp;
</p>

<h3>Preliminary Checks</h3>
<p>
 <img src=""Screenshots/preliminaryCheck1.png"" width=""230"">&emsp;
 <img src=""Screenshots/NoiseDetection.jpeg"" width=""230"">&emsp;
 <img src=""Screenshots/Headphone Orientation.jpeg"" width=""230"">&emsp;
 <img src=""Screenshots/obstacle_detection.png"" width=""230"">&emsp;
</p>

<h3>Test</h3>
<p>
 <img src=""Screenshots/Test_audiometer.png"">&emsp;
</p>

<h3>Results</h3>
<p>
 <img src=""Screenshots/Results.png"">&emsp;
 <br>
 <img src=""Screenshots/Results_audiometer.png"">&emsp;
</p>

<h3>Teacher View</h3>
<p>
 <img src=""Screenshots/Teacher Profile Page.jpeg"" width=""245"">&emsp;
 <img src=""Screenshots/Assignments2.jpeg"" width=""245"">&emsp;
</p>

<p>
<h3>Analytics</h3>
 <img src=""Screenshots/analytics_audiometer.png"">&emsp;
</p>

## Getting Started
### Firebase
- Create a Firebase account
- Add the firebase config in FirebaseConfig.js in audiometer/
  
### Frontend
- Clone the repository
- Run the below commands:

```shell
cd audiometer
npm install
npm run web
```
- Change **ip** value to address in the command line in the file audiometer/app/Constants/ip.js

### Backend
- Run the below commands:
```shell
cd server 
```
- Create Virtual Environment
  
You can use multiple methods to create a virtual environment, whatever suits your need

##### Conda
```shell
conda create -n venv python=3.6.3 anaconda
conda activate venv
```
#### Virtualenv

##### Windows
```shell
python -m venv venv   
.\venv\Scripts\Activate
```

##### Linux
```shell
python3 -m venv venv 
source venv/bin/activate
```

- Install the requirements and run server
```shell
pip install -r requirements.txt
#Intialize DB data/Create Models in DB
python manage.py makemigrations
python manage.py migrate

cd backend
python manage.py runserver <ip_address>:80/<ip_address>:8081 

#Here <ip_address> is the IP address on which the expo is running
```
## Team
<p>
    <img src=""Screenshots/Hackathon.jpeg"" >&emsp;
</p>
<p>
    <img src=""Screenshots/winners.jpeg"">&emsp;
    </p>

**Team Members** 

- Sachin Kumar Sahu
- Palivela Ganesh Priyatham
- Preethi Varsha Marivina
- Siddhartha G
- Swami Ramchandra Kedari
- Sirish Sekhar

### References
- Charih, François, and James R. Green. ""Audiogram Digitization Tool for Audiological Reports."" IEEE Access 10 (2022): 110761-110769.
- [Machine Learning in Audiology: Applications and Implications](https://repository.library.carleton.ca/concern/etds/gt54kp02t).",2024,audiometry
FinaCloud,AudiometryTest,None,2021,audiometry
"indrajithc
Indrajith C
 ·",audiometry,None,2018,audiometry
taylor-code,AudiometryBinaryClassification,"Audiometry Binary Classification

Conducts a binary classification of audiometry data. Classifies data as 0 (Conductive) or 1 (Sensorineural).",2021,audiometry
taylor-code,AudiometryMulticlassClassification,"Audiometry Multiclass Classification

C# ML.NET program to predict the type, degree, and configuration of hearing loss.

Performance

The employed multiclass classification metrics are:

Micro Precision
Macro Precision
Log-Loss
Log-Loss Reduction
These four metrics are represented on a scale of 0.00 to 1.00. For a high-performing model, the log-loss should be close to 0.00. Macro precision, micro precision, and log-loss reduction should be close to 1.00.1

Model's Performance

The average performance metrics for this program are:

   Build Time         = 5:38 (Min:Sec)
   Prediction Time    = 506 ms
   Macro Precision    = 1.0000
   Micro Precision    = 1.0000
   Log-Loss           = 0.0236
   Log-Loss Reduction = 0.9870
Classifications

The program predicts the following categories:

Type

Normal (No Hearing Loss)
Conductive
Sensorineural
Mixed
Degree

Normal
Slight
Mild
Moderate
Moderately-Severe
Severe
Profound
Configuration

Bilateral
Unilateral
Symmetrical
Asymmetrical
Low-Frequency
High-Frequency
Classification Example

Given the decibel values:

  {
    ""Left Ear"": {
      ""AC"": {
        ""250 Hz"": 35,
        ""500 Hz"": 40,
        ""1000 Hz"": 35,
        ""2000 Hz"": 30,
        ""4000 Hz"": 40,
        ""8000 Hz"": 35
      },
      ""BC"": {
        ""250 Hz"": 20,
        ""500 Hz"": 20,
        ""1000 Hz"": 25,
        ""2000 Hz"": 20,
        ""4000 Hz"": 20,
        ""8000 Hz"": 20
      }
    },
    ""Right Ear"": {
      ""BC"": {
        ""250 Hz"": -10,
        ""500 Hz"": 10,
        ""1000 Hz"": 0,
        ""2000 Hz"": 5,
        ""4000 Hz"": 45,
        ""8000 Hz"": 45
      },
      ""AC"": {
        ""250 Hz"": -5,
        ""500 Hz"": -5,
        ""1000 Hz"": -10,
        ""2000 Hz"": -5,
        ""4000 Hz"": 40,
        ""8000 Hz"": 30
      }
    }
  }
The application correctly predicts the following labels:

Type   = ""Mixed""
Degree = ""Left: AC: Mild | BC: Slight & Right: AC: Moderate | BC: Mild""
Config = ""Right: High-Frequency | Bilateral | Asymmetrical""
Resource

[1] Microsoft. (2019, December 17). Evaluate your ML.NET model with metrics. https://docs.microsoft.com/en-us/dotnet/machine-learning/resources/metrics",2021,audiometry
https://github.com/krkruk,Tonal-Audiometry,"Tonal Audiometry
================

Examine your hearing with a Tonal Audiometry application.

The source code can be compiled and run on many platforms. The sound files were generated using Audacity.",2016,audiometry
taylor-code,AudiometryDataGeneration,"# Audiometry Data Generation
JavaScript program to generate pure-tone hearing loss data.

One execution produces approximately 17,500 instances in one second.

---

## How To Run

1. Download Node.js for your platform: https://nodejs.org/en/download/
2. In Visual Studio Code, open the **/AudiometryDataGeneration** folder.
3. Type `npm install` in the terminal to install the dependencies.
4. Type `node index` to run the program.

---

## Data
One execution produces three data sets:
1. Training Set: Approximately 14,000 instances
2. Testing Set: Approximately 3,500 instances
3. Prediction Set: 3 instances

The training and testing sets are saved in JSON format to **/Data/JSON**.

The three sets are saved in CSV format to **/Data/CSV**.


### Data Instance

Here is a sample instance:
```json
  {
    ""Left Ear"": {
      ""AC"": {
        ""250 Hz"": -10,
        ""500 Hz"": -10,
        ""1000 Hz"": 5,
        ""2000 Hz"": 0,
        ""4000 Hz"": 45,
        ""8000 Hz"": 50
      },
      ""BC"": {
        ""250 Hz"": -5,
        ""500 Hz"": -10,
        ""1000 Hz"": 10,
        ""2000 Hz"": 10,
        ""4000 Hz"": 35,
        ""8000 Hz"": 30
      }
    },
    ""Right Ear"": {
      ""AC"": {
        ""250 Hz"": 40,
        ""500 Hz"": 30,
        ""1000 Hz"": 30,
        ""2000 Hz"": 40,
        ""4000 Hz"": -10,
        ""8000 Hz"": -10
      },
      ""BC"": {
        ""250 Hz"": 40,
        ""500 Hz"": 40,
        ""1000 Hz"": 30,
        ""2000 Hz"": 35,
        ""4000 Hz"": 10,
        ""8000 Hz"": -5
      }
    },
    ""Type"": ""Left: Mixed & Right: Sensorineural"",
    ""Degree"": ""Left: AC: Moderate | BC: Mild & Right: Mild"",
    ""Configuration"": ""Left: High-Frequency & Right: Low-Frequency | Bilateral | Asymmetrical""
  }
```

One instance contains the following information:
- `Left Ear`: Air Conduction (`AC`) and Bone Conduction (`BC`) Pure-Tone Hearing Test Values
- `Right Ear`: `AC` and `BC` Pure-Tone Hearing Test Values
- `Type`: Conductive, Sensorineural, Mixed, or Normal (no hearing loss)
- `Degree`: Normal, Slight, Mild, Moderate, Moderately-Severe, Severe, Profound
- `Configuration`: Bilateral, Unilateral, Symmetrical, Asymmetrical, Low-Frequency, High-Frequency

---

## Program Process
1. Generates and classifies single-ear instances.
2. Combines the single-ear instances into two-ear instances.
3. Classifies the two-ear instances.
4. Ensures no duplicate entries exist.
5. Splits the data into three sets: prediction, testing, and training data.
6. Saves the sets in JSON format and in CSV format.",2021,audiometry
https://github.com/YashShukla925,Audiometry,None,2023,audiometry
https://github.com/MKesenheimer,Audiometry,"# Audiometry

## Usage:
Compile and run Audiometry:

```
make
./SDLDisplay -i /Users/kesenheimer/stdout -h 600 -w 800
```

## Requirements
```
sudo port install libsdl2 libsdl2_gfx libsdl2_image libsdl2_mixer libsdl2_ttf
```

## Example
![Example](https://raw.githubusercontent.com/MKesenheimer/Audiometry/main/Example.png)",2024,audiometry
https://github.com/tareko,VRA,None,2018,audiometry
https://github.com/HaZoru,audiometry,"# audiometry
Part of my high school biology project.\
Attempting to build a simple hearing threshold measuring program using Web Audio API",2022,audiometry
https://github.com/HPorada,Audiometry,None,2021,audiometry
https://github.com/Crisly,dfna9,"dfna9

DFNA9 audiometry analysis First added 28-04-2020 CPL",2020,audiometry
cran,audiometry,None,2021,audiometry
https://github.com/Lukespacewalker,audiometry,None,2021,audiometry
https://github.com/AllenAnZifeng,Audiometry,"## IBEHS 3I06 Research Project

| Evaluation Criteria                        | Evaluated By:     | Weight | Done    |
|--------------------------------------------|-------------------|--------|---------|
| General knowledge on hearing losses        | Writing           | 10     | &check; |
| Understanding of existing practices        | Writing           | 10     | &check; |
| Requirement spec and UI design             | Report and mockup | 20     | &check; |
| Programming                                | App development   | 40     |         |
| research ethics and working with end users | User study        | 20     |         |


The goal is to implement and evaluate a smartphone based audiometry hearing test app. The tasks include:

1. Investigate how and what types of audiometry hearing tests are currently done in audio labs
2. A comparison of the features and usability of representative audiometry hearing tests on iOS and android devices
3. Implementation of an audiometry hearing test app. 
4. Apply for McMaster research ethic approval and conduct a user study to evaluate the usability of the app among people with different degrees of hearing losses and compare the results with standard audio lab tests.  

# Figma UI design 

[demo](https://www.figma.com/proto/esWcmIBPSXO6ShWqrsdn6g/Audiometry-App?node-id=16%3A30&scaling=scale-down&page-id=0%3A1&starting-point-node-id=16%3A30)",2023,audiometry
https://github.com/Kanabuhochi,audiometry,None,2020,audiometry
https://github.com/candyhero,Audiometry,# AudiometryKids,2022,audiometry
https://github.com/questrator,audiometry,None,2023,audiometry
https://github.com/D-CHATARKAR,Audiometry,None,2024,audiometry
https://github.com/jellison70,AuditoryRuminator,"AuditoryRuminator

Repository for auditory self evaluation and assessment",2018,audiometry
https://github.com/fernandojsg,audiometry,"audiometry

Audiometry test.

WARNING: This is not a diagnostic hearing evaluation. You should always seek out a hearing care professional if you suspect you have a hearing loss. The purpose of this test is to help you determine whether you could benefit from a comprehensive test and evaluation of your hearing.",2021,audiometry
https://github.com/DmitriiPodlesnykh,audiometry,None,2017,audiometry
https://github.com/sleeplessglory,Web Speech Audiometry Description,"# Web Speech Audiometry Description
This project is a web application including speech audiometry technology. It's a desktop website providing opportunities to watch and search for videos using a speech audiometry module.
This module is able to define keywords in one's speech off the video and find those videos.
# The Algorithm
All the users can find videos based on their names or keywords containing in speech data in videos. The program find keywords in relevant videos and count the amount of keywords in each one. Then videos are being sorted by the amount of found keywords, which makes videos show as relevant as the amount of keywords within them. The more keywords are being found in speech data, the higher the video is being shown in the list of results.
# Interface of the Web Page With Results
The speech audiometry technology is being used in a program module when the keywords are typed in the corresponding search bar. One search bar is for video names, another one is for keywords.
![0](https://github.com/darkswan19/WebAppDip/assets/91571026/fcd84455-f3eb-42e2-b2dc-0a7a92450d6c)
# Unit and Application Testing
The application testing is shown in the picture above, manually being tested right on the web page. The video containing more keywords than another one is shown higher in results.
The unit testing contains functions that automatically put diverse video names and keywords to define the amount of keywords. At the end of each test the list of sorted results is being returned.
![4](https://github.com/darkswan19/WebAppDip/assets/91571026/483f8291-689d-407a-b4cd-6d48a819e933)
![5](https://github.com/darkswan19/WebAppDip/assets/91571026/af5ec2ba-3026-42fc-9cd8-65e14f926784)
# Developer Documentation
The developer documentation was made by Doxygen and the batch file included above.
All the functions of the module are described: their brief description, parameters, exceptions and what they return.
![1](https://github.com/darkswan19/WebAppDip/assets/91571026/78d3c010-d340-4f4c-9e4e-dfae500b478f)
![2](https://github.com/darkswan19/WebAppDip/assets/91571026/e722109a-6d17-4158-9263-b2e783a32a6f)
# User Documentation
Eventually, the user documentation was made to raise the awareness of how the speech audiometry technology works and all main functionalities of the web site are also described.

![3](https://github.com/darkswan19/WebAppDip/assets/91571026/f6b8c88a-b760-41d9-a1b2-8b92747d3f8e)",2023,audiometry
https://github.com/aryathulasi,audiometryproject,None,2018,audiometry
https://github.com/celestecece,audiometrygraph,None,2023,audiometry
https://github.com/Crisly,dfna9-systematic-review,"
DFA9 systematic review audiometry analysis This repository contains the code used to reproduce a number of figures in the manuscript ""Genotype-phenotype correlations of pathogenic COCH variants in DFNA9: a HuGE systematic review and audiometric meta-analysis""",2021,audiometry
https://github.com/Zespol-Inz-2016,Serwis-Audiometryczny,SERWIS INTERNETOWY BAZY DANYCH AUDIOMETRYCZNYCH projekt zakończony,2016,audiometry
https://github.com/Akash200200,Audiometry_GUI,"o	Created GUI interface using mainly Tkinter library.
o	Libraries used for other functionalities were numpy, matplotlib, pyaudio.
o	Results presented by graph showing probable hearing aids and respective remedies",2016,audiometry
https://github.com/mkusm,audiometer,"
Audiometer is an android app. It provides a way to do the audiometry exam.

Created back in 2015 as part of my Engineer's Degree.",2022,audiometry
https://github.com/Tarun2532,Shor_Audiometry,None,2021,audiometry
https://github.com/claushansen,audiometry-slim,None,2021,audiometry
https://github.com/borisbarath,audiometry-tester,"Audiometry Hearing Loss Calculator

A GUI application for easy entry of data measured by an audiometer and calculation of hearing loss (using Fowler's method) for ENT surgeons.",2018,audiometry
https://github.com/alammasoodi,ToneAudiometry,None,2018,audiometry
https://github.com/BhaskerSriHarsha,Opensource-Audiometry,"A python program which lets anybody perform audiometry on any laptop or desktop. Logic of the code is self explanatory. Anyway, comments have been provided to make it more readable.

Disclaimer: This tool is not a ""medical grade"" product and should not be considered as an alternative for an expert opinion. This tool is still under-development.

Author: Suri Bhasker Sri Harsha Research Scholar - MS Computer science department IIT Tirupati

Operating system: Ubuntu 16.04. {should work for other similar Linux distros} Language used: Python 2.7 Date of upload: 8th October 2018",2018,audiometry
https://github.com/hausersn1,DPOAE-Audiometry,This will be files for analyzing DPOAE and audiometry data from the synaptopathy project.,2023,audiometry
